D,pad,shield,freq
0.1,0.6,1.35,37
0.1,0.6,1.35,37.01
0.1,0.6,1.35,37.02
0.1,0.6,1.35,37.03
0.1,0.6,1.35,37.04
0.1,0.6,1.35,37.05
0.1,0.6,1.35,37.06
0.1,0.6,1.35,37.07
0.1,0.6,1.35,37.08
0.1,0.6,1.35,37.09
0.1,0.6,1.35,37.1
0.1,0.6,1.35,37.11
0.1,0.6,1.35,37.12
0.1,0.6,1.35,37.13
0.1,0.6,1.35,37.14
0.1,0.6,1.35,37.15
0.1,0.6,1.35,37.16
0.1,0.6,1.35,37.17
0.1,0.6,1.35,37.18
0.1,0.6,1.35,37.19
0.1,0.6,1.35,37.2
0.1,0.6,1.35,37.21
0.1,0.6,1.35,37.22
0.1,0.6,1.35,37.23
0.1,0.6,1.35,37.24
0.1,0.6,1.35,37.25
0.1,0.6,1.35,37.26
0.1,0.6,1.35,37.27
0.1,0.6,1.35,37.28
0.1,0.6,1.35,37.29
0.1,0.6,1.35,37.3
0.1,0.6,1.35,37.31
0.1,0.6,1.35,37.32
0.1,0.6,1.35,37.33
0.1,0.6,1.35,37.34
0.1,0.6,1.35,37.35
0.1,0.6,1.35,37.36
0.1,0.6,1.35,37.37
0.1,0.6,1.35,37.38
0.1,0.6,1.35,37.39
0.1,0.6,1.35,37.4
0.1,0.6,1.35,37.41
0.1,0.6,1.35,37.42
0.1,0.6,1.35,37.43
0.1,0.6,1.35,37.44
0.1,0.6,1.35,37.45
0.1,0.6,1.35,37.46
0.1,0.6,1.35,37.47
0.1,0.6,1.35,37.48
0.1,0.6,1.35,37.49
0.1,0.6,1.35,37.5
0.1,0.6,1.35,37.51
0.1,0.6,1.35,37.52
0.1,0.6,1.35,37.53
0.1,0.6,1.35,37.54
0.1,0.6,1.35,37.55
0.1,0.6,1.35,37.56
0.1,0.6,1.35,37.57
0.1,0.6,1.35,37.58
0.1,0.6,1.35,37.59
0.1,0.6,1.35,37.6
0.1,0.6,1.35,37.61
0.1,0.6,1.35,37.62
0.1,0.6,1.35,37.63
0.1,0.6,1.35,37.64
0.1,0.6,1.35,37.65
0.1,0.6,1.35,37.66
0.1,0.6,1.35,37.67
0.1,0.6,1.35,37.68
0.1,0.6,1.35,37.69
0.1,0.6,1.35,37.7
0.1,0.6,1.35,37.71
0.1,0.6,1.35,37.72
0.1,0.6,1.35,37.73
0.1,0.6,1.35,37.74
0.1,0.6,1.35,37.75
0.1,0.6,1.35,37.76
0.1,0.6,1.35,37.77
0.1,0.6,1.35,37.78
0.1,0.6,1.35,37.79
0.1,0.6,1.35,37.8
0.1,0.6,1.35,37.81
0.1,0.6,1.35,37.82
0.1,0.6,1.35,37.83
0.1,0.6,1.35,37.84
0.1,0.6,1.35,37.85
0.1,0.6,1.35,37.86
0.1,0.6,1.35,37.87
0.1,0.6,1.35,37.88
0.1,0.6,1.35,37.89
0.1,0.6,1.35,37.9
0.1,0.6,1.35,37.91
0.1,0.6,1.35,37.92
0.1,0.6,1.35,37.93
0.1,0.6,1.35,37.94
0.1,0.6,1.35,37.95
0.1,0.6,1.35,37.96
0.1,0.6,1.35,37.97
0.1,0.6,1.35,37.98
0.1,0.6,1.35,37.99
0.1,0.6,1.35,38
0.1,0.6,1.35,38.01
0.1,0.6,1.35,38.02
0.1,0.6,1.35,38.03
0.1,0.6,1.35,38.04
0.1,0.6,1.35,38.05
0.1,0.6,1.35,38.06
0.1,0.6,1.35,38.07
0.1,0.6,1.35,38.08
0.1,0.6,1.35,38.09
0.1,0.6,1.35,38.1
0.1,0.6,1.35,38.11
0.1,0.6,1.35,38.12
0.1,0.6,1.35,38.13
0.1,0.6,1.35,38.14
0.1,0.6,1.35,38.15
0.1,0.6,1.35,38.16
0.1,0.6,1.35,38.17
0.1,0.6,1.35,38.18
0.1,0.6,1.35,38.19
0.1,0.6,1.35,38.2
0.1,0.6,1.35,38.21
0.1,0.6,1.35,38.22
0.1,0.6,1.35,38.23
0.1,0.6,1.35,38.24
0.1,0.6,1.35,38.25
0.1,0.6,1.35,38.26
0.1,0.6,1.35,38.27
0.1,0.6,1.35,38.28
0.1,0.6,1.35,38.29
0.1,0.6,1.35,38.3
0.1,0.6,1.35,38.31
0.1,0.6,1.35,38.32
0.1,0.6,1.35,38.33
0.1,0.6,1.35,38.34
0.1,0.6,1.35,38.35
0.1,0.6,1.35,38.36
0.1,0.6,1.35,38.37
0.1,0.6,1.35,38.38
0.1,0.6,1.35,38.39
0.1,0.6,1.35,38.4
0.1,0.6,1.35,38.41
0.1,0.6,1.35,38.42
0.1,0.6,1.35,38.43
0.1,0.6,1.35,38.44
0.1,0.6,1.35,38.45
0.1,0.6,1.35,38.46
0.1,0.6,1.35,38.47
0.1,0.6,1.35,38.48
0.1,0.6,1.35,38.49
0.1,0.6,1.35,38.5
0.1,0.6,1.35,38.51
0.1,0.6,1.35,38.52
0.1,0.6,1.35,38.53
0.1,0.6,1.35,38.54
0.1,0.6,1.35,38.55
0.1,0.6,1.35,38.56
0.1,0.6,1.35,38.57
0.1,0.6,1.35,38.58
0.1,0.6,1.35,38.59
0.1,0.6,1.35,38.6
0.1,0.6,1.35,38.61
0.1,0.6,1.35,38.62
0.1,0.6,1.35,38.63
0.1,0.6,1.35,38.64
0.1,0.6,1.35,38.65
0.1,0.6,1.35,38.66
0.1,0.6,1.35,38.67
0.1,0.6,1.35,38.68
0.1,0.6,1.35,38.69
0.1,0.6,1.35,38.7
0.1,0.6,1.35,38.71
0.1,0.6,1.35,38.72
0.1,0.6,1.35,38.73
0.1,0.6,1.35,38.74
0.1,0.6,1.35,38.75
0.1,0.6,1.35,38.76
0.1,0.6,1.35,38.77
0.1,0.6,1.35,38.78
0.1,0.6,1.35,38.79
0.1,0.6,1.35,38.8
0.1,0.6,1.35,38.81
0.1,0.6,1.35,38.82
0.1,0.6,1.35,38.83
0.1,0.6,1.35,38.84
0.1,0.6,1.35,38.85
0.1,0.6,1.35,38.86
0.1,0.6,1.35,38.87
0.1,0.6,1.35,38.88
0.1,0.6,1.35,38.89
0.1,0.6,1.35,38.9
0.1,0.6,1.35,38.91
0.1,0.6,1.35,38.92
0.1,0.6,1.35,38.93
0.1,0.6,1.35,38.94
0.1,0.6,1.35,38.95
0.1,0.6,1.35,38.96
0.1,0.6,1.35,38.97
0.1,0.6,1.35,38.98
0.1,0.6,1.35,38.99
0.1,0.6,1.35,39
0.1,0.6,1.35,39.01
0.1,0.6,1.35,39.02
0.1,0.6,1.35,39.03
0.1,0.6,1.35,39.04
0.1,0.6,1.35,39.05
0.1,0.6,1.35,39.06
0.1,0.6,1.35,39.07
0.1,0.6,1.35,39.08
0.1,0.6,1.35,39.09
0.1,0.6,1.35,39.1
0.1,0.6,1.35,39.11
0.1,0.6,1.35,39.12
0.1,0.6,1.35,39.13
0.1,0.6,1.35,39.14
0.1,0.6,1.35,39.15
0.1,0.6,1.35,39.16
0.1,0.6,1.35,39.17
0.1,0.6,1.35,39.18
0.1,0.6,1.35,39.19
0.1,0.6,1.35,39.2
0.1,0.6,1.35,39.21
0.1,0.6,1.35,39.22
0.1,0.6,1.35,39.23
0.1,0.6,1.35,39.24
0.1,0.6,1.35,39.25
0.1,0.6,1.35,39.26
0.1,0.6,1.35,39.27
0.1,0.6,1.35,39.28
0.1,0.6,1.35,39.29
0.1,0.6,1.35,39.3
0.1,0.6,1.35,39.31
0.1,0.6,1.35,39.32
0.1,0.6,1.35,39.33
0.1,0.6,1.35,39.34
0.1,0.6,1.35,39.35
0.1,0.6,1.35,39.36
0.1,0.6,1.35,39.37
0.1,0.6,1.35,39.38
0.1,0.6,1.35,39.39
0.1,0.6,1.35,39.4
0.1,0.6,1.35,39.41
0.1,0.6,1.35,39.42
0.1,0.6,1.35,39.43
0.1,0.6,1.35,39.44
0.1,0.6,1.35,39.45
0.1,0.6,1.35,39.46
0.1,0.6,1.35,39.47
0.1,0.6,1.35,39.48
0.1,0.6,1.35,39.49
0.1,0.6,1.35,39.5
0.1,0.6,1.35,39.51
0.1,0.6,1.35,39.52
0.1,0.6,1.35,39.53
0.1,0.6,1.35,39.54
0.1,0.6,1.35,39.55
0.1,0.6,1.35,39.56
0.1,0.6,1.35,39.57
0.1,0.6,1.35,39.58
0.1,0.6,1.35,39.59
0.1,0.6,1.35,39.6
0.1,0.6,1.35,39.61
0.1,0.6,1.35,39.62
0.1,0.6,1.35,39.63
0.1,0.6,1.35,39.64
0.1,0.6,1.35,39.65
