D_pth [mm],d_apad [mm],shield [mm],Freq [GHz],"dB(S(1,1)) []","dB(S(2,1)) []","ang_deg(S(1,1)) [deg]","ang_deg(S(2,1)) [deg]"
0.1,0.6,1.35,37,-10.18729846,-1.334723324,30.71712697,126.8305113
0.1,0.6,1.35,37.05,-10.25198554,-1.306727686,30.97583589,126.4937294
0.1,0.6,1.35,37.1,-10.31851774,-1.280603196,31.15853988,126.1220782
0.1,0.6,1.35,37.15,-10.38625724,-1.256358023,31.26231322,125.7162127
0.1,0.6,1.35,37.2,-10.45447368,-1.233992637,31.28463132,125.2768602
0.1,0.6,1.35,37.25,-10.52234683,-1.213499486,31.22349825,124.8048195
0.1,0.6,1.35,37.3,-10.58897332,-1.194862757,31.07758187,124.3009586
0.1,0.6,1.35,37.35,-10.6533782,-1.17805822,30.8463505,123.7662124
0.1,0.6,1.35,37.4,-10.71453185,-1.163053172,30.53020332,123.2015794
0.1,0.6,1.35,37.45,-10.77137241,-1.149806483,30.13058498,122.608118
0.1,0.6,1.35,37.5,-10.82283351,-1.138268759,29.65007331,121.9869426
0.1,0.6,1.35,37.55,-10.86787659,-1.128382609,29.09242907,121.3392187
0.1,0.6,1.35,37.6,-10.90552635,-1.120083041,28.46259719,120.6661581
0.1,0.6,1.35,37.65,-10.93490754,-1.11329796,27.76665181,119.9690132
0.1,0.6,1.35,37.7,-10.95528047,-1.107948795,27.01168081,119.2490714
0.1,0.6,1.35,37.75,-10.96607291,-1.103951217,26.20561126,118.5076489
0.1,0.6,1.35,37.8,-10.96690539,-1.101215965,25.3569827,117.7460845
0.1,0.6,1.35,37.85,-10.95760804,-1.099649764,24.474681,116.9657332
0.1,0.6,1.35,37.9,-10.93822715,-1.099156311,23.56765015,116.1679595
0.1,0.6,1.35,37.95,-10.90902107,-1.099637325,22.64460177,115.354131
0.1,0.6,1.35,38,-10.8704457,-1.100993652,21.71374269,114.5256118
0.1,0.6,1.35,38.05,-10.82313108,-1.103126385,20.78253827,113.6837557
0.1,0.6,1.35,38.1,-10.76785107,-1.105938005,19.8575252,112.8299005
0.1,0.6,1.35,38.15,-10.70548873,-1.109333512,18.94418176,111.965361
0.1,0.6,1.35,38.2,-10.63700005,-1.113221527,18.04685789,111.0914238
0.1,0.6,1.35,38.25,-10.56337836,-1.117515359,17.16876182,110.209341
0.1,0.6,1.35,38.3,-10.48562158,-1.122133999,16.31199634,109.3203254
0.1,0.6,1.35,38.35,-10.40470364,-1.127003054,15.47763467,108.4255448
0.1,0.6,1.35,38.4,-10.32155094,-1.132055576,14.66582516,107.5261182
0.1,0.6,1.35,38.45,-10.23702425,-1.137232799,13.87591414,106.6231106
0.1,0.6,1.35,38.5,-10.15190574,-1.142484761,13.10657707,105.7175302
0.1,0.6,1.35,38.55,-10.06689099,-1.147770801,12.35595035,104.8103245
0.1,0.6,1.35,38.6,-9.982585037,-1.153059938,11.62175748,103.9023776
0.1,0.6,1.35,38.65,-9.899501966,-1.158331111,10.90142552,102.9945081
0.1,0.6,1.35,38.7,-9.81806714,-1.16357329,10.19218926,102.087467
0.1,0.6,1.35,38.75,-9.738621504,-1.168785453,9.491182007,101.1819367
0.1,0.6,1.35,38.8,-9.661427268,-1.173976431,8.795512708,100.2785303
