D_pth [mm],d_apad [mm],shield [],Freq [GHz],"dB(S(1,1)) []","dB(S(2,1)) []","ang_deg(S(1,1)) [deg]","ang_deg(S(2,1))_1 [deg]"
0.1,0.6,1.15,57,-28.36764173,-0.982365653,-77.85880355,152.1646656
0.1,0.6,1.15,57.05,-28.5326544,-0.948259327,-84.22685776,151.5132584
0.1,0.6,1.15,57.1,-28.86034719,-0.917530633,-90.02907131,150.8391628
0.1,0.6,1.15,57.15,-29.29765206,-0.890173909,-95.13800973,150.144504
0.1,0.6,1.15,57.2,-29.79873376,-0.866156621,-99.57674475,149.4314541
0.1,0.6,1.15,57.25,-30.33061628,-0.845418375,-103.4510955,148.7022108
0.1,0.6,1.15,57.3,-30.87254944,-0.82787024,-106.8962483,147.9589744
0.1,0.6,1.15,57.35,-31.41299621,-0.813394417,-110.0465941,147.203924
0.1,0.6,1.15,57.4,-31.94650444,-0.801844232,-113.0229783,146.4391912
0.1,0.6,1.15,57.45,-32.47124529,-0.793044459,-115.9296836,145.6668346
0.1,0.6,1.15,57.5,-32.98727334,-0.786791946,-118.8558255,144.8888116
0.1,0.6,1.15,57.55,-33.49533403,-0.782856526,-121.8782463,144.1069496
0.1,0.6,1.15,57.6,-33.99602404,-0.78098217,-125.0644983,143.3229154
0.1,0.6,1.15,57.65,-34.48915272,-0.780888381,-128.4752668,142.538182
0.1,0.6,1.15,57.7,-34.97320321,-0.782271792,-132.1658795,141.753991
0.1,0.6,1.15,57.75,-35.44483865,-0.784807983,-136.1866179,140.9713094
0.1,0.6,1.15,57.8,-35.89844738,-0.788153603,-140.5815064,140.1907758
0.1,0.6,1.15,57.85,-36.32577771,-0.791948948,-145.3852433,139.412631
0.1,0.6,1.15,57.9,-36.71578175,-0.795821491,-150.6180706,138.6366214
0.1,0.6,1.15,57.95,-37.05485665,-0.799391477,-156.278848,137.8618565
0.1,0.6,1.15,58,-37.32769902,-0.802282523,-162.3375041,137.0865824
0.1,0.6,1.15,58.05,-37.51890463,-0.804145308,-168.7292703,136.3077997
0.1,0.6,1.15,58.1,-37.61519305,-0.804718375,-175.353988,135.5205791
0.1,0.6,1.15,58.15,-37.60776111,-0.804002695,177.9167462,134.7168169
0.1,0.6,1.15,58.2,-37.49398899,-0.802807769,171.2244439,133.8832634
0.1,0.6,1.15,58.25,-37.27781505,-0.804487706,164.704169,133.0013836
0.1,0.6,1.15,58.3,-36.96861426,-0.818988558,158.4665042,132.0720585
0.1,0.6,1.15,58.35,-36.57904455,-0.856890221,152.5860885,131.2263222
0.1,0.6,1.15,58.4,-36.12264505,-0.886399665,147.0983561,130.6176138
0.1,0.6,1.15,58.45,-35.61184576,-0.881934929,142.0026588,130.007116
0.1,0.6,1.15,58.5,-35.05668363,-0.867173772,137.2683466,129.2620494
0.1,0.6,1.15,58.55,-34.46419308,-0.856079951,132.8406178,128.4223646
0.1,0.6,1.15,58.6,-33.83828152,-0.85228768,128.6439674,127.526207
0.1,0.6,1.15,58.65,-33.17989997,-0.857329536,124.5819007,126.5968902
0.1,0.6,1.15,58.7,-32.48741829,-0.872408678,120.5317787,125.6543684
0.1,0.6,1.15,58.75,-31.75729812,-0.898236763,116.3331192,124.7205814
0.1,0.6,1.15,58.8,-30.98550668,-0.934545657,111.7664166,123.8197677
0.1,0.6,1.15,58.85,-30.17089793,-0.979740951,106.517924,122.9756371
0.1,0.6,1.15,58.9,-29.32365554,-1.030915344,100.1264121,122.207098
0.1,0.6,1.15,58.95,-28.48598148,-1.084269403,91.92317289,121.5244837
0.1,0.6,1.15,59,-27.7776546,-1.135793542,81.05266054,120.9279004
0.1,0.6,1.15,59.05,-27.46570679,-1.181949888,66.88320979,120.4082123
0.1,0.6,1.15,59.1,-27.9574811,-1.220130327,50.19664619,119.9499331
0.1,0.6,1.15,59.15,-29.52956842,-1.248810207,34.00128471,119.5346968
0.1,0.6,1.15,59.2,-32.07674404,-1.267454163,21.58564331,119.1441892
0.1,0.6,1.15,59.25,-35.37530623,-1.27629121,14.5077131,118.7620289
0.1,0.6,1.15,59.3,-39.44541176,-1.276064535,13.96627605,118.3746301
0.1,0.6,1.15,59.35,-44.61422739,-1.267818284,25.37218766,117.9713403
0.1,0.6,1.15,59.4,-49.27407004,-1.252742898,69.16243054,117.5441835
0.1,0.6,1.15,59.45,-46.40186633,-1.232075581,117.6372319,117.0874585
0.1,0.6,1.15,59.5,-42.41054574,-1.207042274,134.1159047,116.5973375
0.1,0.6,1.15,59.55,-39.49674046,-1.178826264,140.1048055,116.0715327
0.1,0.6,1.15,59.6,-37.2330893,-1.148551274,142.4383402,115.5090447
0.1,0.6,1.15,59.65,-35.35022338,-1.117270651,142.7846219,114.9099832
0.1,0.6,1.15,59.7,-33.73844419,-1.085957588,141.6020671,114.2754359
0.1,0.6,1.15,59.75,-32.37769772,-1.055494022,139.1291796,113.6073633
0.1,0.6,1.15,59.8,-31.28372488,-1.026657761,135.7354839,112.9084961
0.1,0.6,1.15,59.85,-30.46037108,-1.000108732,131.9666297,112.1822208
