D,d_apad,shield,freq
0.1,0.6,1.15,57
0.1,0.6,1.15,57.01
0.1,0.6,1.15,57.02
0.1,0.6,1.15,57.03
0.1,0.6,1.15,57.04
0.1,0.6,1.15,57.05
0.1,0.6,1.15,57.06
0.1,0.6,1.15,57.07
0.1,0.6,1.15,57.08
0.1,0.6,1.15,57.09
0.1,0.6,1.15,57.1
0.1,0.6,1.15,57.11
0.1,0.6,1.15,57.12
0.1,0.6,1.15,57.13
0.1,0.6,1.15,57.14
0.1,0.6,1.15,57.15
0.1,0.6,1.15,57.16
0.1,0.6,1.15,57.17
0.1,0.6,1.15,57.18
0.1,0.6,1.15,57.19
0.1,0.6,1.15,57.2
0.1,0.6,1.15,57.21
0.1,0.6,1.15,57.22
0.1,0.6,1.15,57.23
0.1,0.6,1.15,57.24
0.1,0.6,1.15,57.25
0.1,0.6,1.15,57.26
0.1,0.6,1.15,57.27
0.1,0.6,1.15,57.28
0.1,0.6,1.15,57.29
0.1,0.6,1.15,57.3
0.1,0.6,1.15,57.31
0.1,0.6,1.15,57.32
0.1,0.6,1.15,57.33
0.1,0.6,1.15,57.34
0.1,0.6,1.15,57.35
0.1,0.6,1.15,57.36
0.1,0.6,1.15,57.37
0.1,0.6,1.15,57.38
0.1,0.6,1.15,57.39
0.1,0.6,1.15,57.4
0.1,0.6,1.15,57.41
0.1,0.6,1.15,57.42
0.1,0.6,1.15,57.43
0.1,0.6,1.15,57.44
0.1,0.6,1.15,57.45
0.1,0.6,1.15,57.46
0.1,0.6,1.15,57.47
0.1,0.6,1.15,57.48
0.1,0.6,1.15,57.49
0.1,0.6,1.15,57.5
0.1,0.6,1.15,57.51
0.1,0.6,1.15,57.52
0.1,0.6,1.15,57.53
0.1,0.6,1.15,57.54
0.1,0.6,1.15,57.55
0.1,0.6,1.15,57.56
0.1,0.6,1.15,57.57
0.1,0.6,1.15,57.58
0.1,0.6,1.15,57.59
0.1,0.6,1.15,57.6
0.1,0.6,1.15,57.61
0.1,0.6,1.15,57.62
0.1,0.6,1.15,57.63
0.1,0.6,1.15,57.64
0.1,0.6,1.15,57.65
0.1,0.6,1.15,57.66
0.1,0.6,1.15,57.67
0.1,0.6,1.15,57.68
0.1,0.6,1.15,57.69
0.1,0.6,1.15,57.7
0.1,0.6,1.15,57.71
0.1,0.6,1.15,57.72
0.1,0.6,1.15,57.73
0.1,0.6,1.15,57.74
0.1,0.6,1.15,57.75
0.1,0.6,1.15,57.76
0.1,0.6,1.15,57.77
0.1,0.6,1.15,57.78
0.1,0.6,1.15,57.79
0.1,0.6,1.15,57.8
0.1,0.6,1.15,57.81
0.1,0.6,1.15,57.82
0.1,0.6,1.15,57.83
0.1,0.6,1.15,57.84
0.1,0.6,1.15,57.85
0.1,0.6,1.15,57.86
0.1,0.6,1.15,57.87
0.1,0.6,1.15,57.88
0.1,0.6,1.15,57.89
0.1,0.6,1.15,57.9
0.1,0.6,1.15,57.91
0.1,0.6,1.15,57.92
0.1,0.6,1.15,57.93
0.1,0.6,1.15,57.94
0.1,0.6,1.15,57.95
0.1,0.6,1.15,57.96
0.1,0.6,1.15,57.97
0.1,0.6,1.15,57.98
0.1,0.6,1.15,57.99
0.1,0.6,1.15,58
0.1,0.6,1.15,58.01
0.1,0.6,1.15,58.02
0.1,0.6,1.15,58.03
0.1,0.6,1.15,58.04
0.1,0.6,1.15,58.05
0.1,0.6,1.15,58.06
0.1,0.6,1.15,58.07
0.1,0.6,1.15,58.08
0.1,0.6,1.15,58.09
0.1,0.6,1.15,58.1
0.1,0.6,1.15,58.11
0.1,0.6,1.15,58.12
0.1,0.6,1.15,58.13
0.1,0.6,1.15,58.14
0.1,0.6,1.15,58.15
0.1,0.6,1.15,58.16
0.1,0.6,1.15,58.17
0.1,0.6,1.15,58.18
0.1,0.6,1.15,58.19
