D [mm],coax_inside [mm],QCOAX_D [mm],freq
0.1,0.3,0.65,37
0.1,0.3,0.65,37.01
0.1,0.3,0.65,37.02
0.1,0.3,0.65,37.03
0.1,0.3,0.65,37.04
0.1,0.3,0.65,37.05
0.1,0.3,0.65,37.06
0.1,0.3,0.65,37.07
0.1,0.3,0.65,37.08
0.1,0.3,0.65,37.09
0.1,0.3,0.65,37.1
0.1,0.3,0.65,37.11
0.1,0.3,0.65,37.12
0.1,0.3,0.65,37.13
0.1,0.3,0.65,37.14
0.1,0.3,0.65,37.15
0.1,0.3,0.65,37.16
0.1,0.3,0.65,37.17
0.1,0.3,0.65,37.18
0.1,0.3,0.65,37.19
0.1,0.3,0.65,37.2
0.1,0.3,0.65,37.21
0.1,0.3,0.65,37.22
0.1,0.3,0.65,37.23
0.1,0.3,0.65,37.24
0.1,0.3,0.65,37.25
0.1,0.3,0.65,37.26
0.1,0.3,0.65,37.27
0.1,0.3,0.65,37.28
0.1,0.3,0.65,37.29
0.1,0.3,0.65,37.3
0.1,0.3,0.65,37.31
0.1,0.3,0.65,37.32
0.1,0.3,0.65,37.33
0.1,0.3,0.65,37.34
0.1,0.3,0.65,37.35
0.1,0.3,0.65,37.36
0.1,0.3,0.65,37.37
0.1,0.3,0.65,37.38
0.1,0.3,0.65,37.39
0.1,0.3,0.65,37.4
0.1,0.3,0.65,37.41
0.1,0.3,0.65,37.42
0.1,0.3,0.65,37.43
0.1,0.3,0.65,37.44
0.1,0.3,0.65,37.45
0.1,0.3,0.65,37.46
0.1,0.3,0.65,37.47
0.1,0.3,0.65,37.48
0.1,0.3,0.65,37.49
0.1,0.3,0.65,37.5
0.1,0.3,0.65,37.51
0.1,0.3,0.65,37.52
0.1,0.3,0.65,37.53
0.1,0.3,0.65,37.54
0.1,0.3,0.65,37.55
0.1,0.3,0.65,37.56
0.1,0.3,0.65,37.57
0.1,0.3,0.65,37.58
0.1,0.3,0.65,37.59
0.1,0.3,0.65,37.6
0.1,0.3,0.65,37.61
0.1,0.3,0.65,37.62
0.1,0.3,0.65,37.63
0.1,0.3,0.65,37.64
0.1,0.3,0.65,37.65
0.1,0.3,0.65,37.66
0.1,0.3,0.65,37.67
0.1,0.3,0.65,37.68
0.1,0.3,0.65,37.69
0.1,0.3,0.65,37.7
0.1,0.3,0.65,37.71
0.1,0.3,0.65,37.72
0.1,0.3,0.65,37.73
0.1,0.3,0.65,37.74
0.1,0.3,0.65,37.75
0.1,0.3,0.65,37.76
0.1,0.3,0.65,37.77
0.1,0.3,0.65,37.78
0.1,0.3,0.65,37.79
0.1,0.3,0.65,37.8
0.1,0.3,0.65,37.81
0.1,0.3,0.65,37.82
0.1,0.3,0.65,37.83
0.1,0.3,0.65,37.84
0.1,0.3,0.65,37.85
0.1,0.3,0.65,37.86
0.1,0.3,0.65,37.87
0.1,0.3,0.65,37.88
0.1,0.3,0.65,37.89
0.1,0.3,0.65,37.9
0.1,0.3,0.65,37.91
0.1,0.3,0.65,37.92
0.1,0.3,0.65,37.93
0.1,0.3,0.65,37.94
0.1,0.3,0.65,37.95
0.1,0.3,0.65,37.96
0.1,0.3,0.65,37.97
0.1,0.3,0.65,37.98
0.1,0.3,0.65,37.99
0.1,0.3,0.65,38
0.1,0.3,0.65,38.01
0.1,0.3,0.65,38.02
0.1,0.3,0.65,38.03
0.1,0.3,0.65,38.04
