D [mm],coax_inside [mm],QCOAX_D [mm],Freq [GHz],"dB(S(1,1)) []","dB(S(2,1)) []","ang_deg(S(1,1)) [deg]","ang_deg(S(2,1)) [deg]"
0.1,0.3,0.65,37,-5.111970192,-3.312513536,-62.13994002,34.71125723
0.1,0.3,0.65,37.05,-5.235530027,-3.309890983,-64.28673817,33.45309827
0.1,0.3,0.65,37.1,-5.409438795,-3.254117829,-66.06264981,32.340892
0.1,0.3,0.65,37.15,-5.587154665,-3.1234139,-67.11581301,31.09635016
0.1,0.3,0.65,37.2,-5.668171666,-2.944795822,-67.53375304,29.34531319
0.1,0.3,0.65,37.25,-5.613659729,-2.785145074,-68.02600975,27.02934197
0.1,0.3,0.65,37.3,-5.490003079,-2.68287198,-69.0724505,24.43379082
0.1,0.3,0.65,37.35,-5.363805009,-2.631965474,-70.61349694,21.82627118
0.1,0.3,0.65,37.4,-5.259344907,-2.612762916,-72.44170695,19.31655697
0.1,0.3,0.65,37.45,-5.178161991,-2.610018153,-74.41015559,16.91846699
0.1,0.3,0.65,37.5,-5.11573597,-2.614954158,-76.44083076,14.61421645
0.1,0.3,0.65,37.55,-5.067361605,-2.623046854,-78.49576927,12.38195936
0.1,0.3,0.65,37.6,-5.029408623,-2.632073874,-80.55687464,10.20355701
0.1,0.3,0.65,37.65,-4.999288255,-2.640979109,-82.61550464,8.065493201
0.1,0.3,0.65,37.7,-4.975185238,-2.649283986,-84.66750398,5.958037338
0.1,0.3,0.65,37.75,-4.955817257,-2.656792725,-86.7108715,3.874228982
0.1,0.3,0.65,37.8,-4.940261708,-2.663445804,-88.7446611,1.809060478
0.1,0.3,0.65,37.85,-4.927839025,-2.669247031,-90.76846132,-0.241111785
0.1,0.3,0.65,37.9,-4.918035787,-2.674227303,-92.78214933,-2.278975677
0.1,0.3,0.65,37.95,-4.910454304,-2.678426815,-94.78577599,-4.306543613
0.1,0.3,0.65,38,-4.904779532,-2.681886622,-96.77951336,-6.325345361
0.1,0.3,0.65,38.05,-4.900757312,-2.684644971,-98.76363116,-8.336561727
0.1,0.3,0.65,38.1,-4.898180006,-2.686736034,-100.7384857,-10.34111824
0.1,0.3,0.65,38.15,-4.896877003,-2.688189845,-102.7045129,-12.33975155
0.1,0.3,0.65,38.2,-4.896708379,-2.689032799,-104.6622226,-14.33305715
0.1,0.3,0.65,38.25,-4.897560625,-2.689288402,-106.6121905,-16.32152396
0.1,0.3,0.65,38.3,-4.899343659,-2.688978096,-108.5550495,-18.30555987
0.1,0.3,0.65,38.35,-4.901988645,-2.688122099,-110.491479,-20.28551082
0.1,0.3,0.65,38.4,-4.90544625,-2.686740217,-112.4221929,-22.26167527
0.1,0.3,0.65,38.45,-4.909685133,-2.684852634,-114.3479268,-24.23431563
0.1,0.3,0.65,38.5,-4.914690517,-2.682480692,-116.2694254,-26.20366744
0.1,0.3,0.65,38.55,-4.920462759,-2.679647664,-118.1874287,-28.16994752
0.1,0.3,0.65,38.6,-4.927015857,-2.676379556,-120.1026607,-30.1333616
0.1,0.3,0.65,38.65,-4.934375903,-2.672705942,-122.0158169,-32.09411269
0.1,0.3,0.65,38.7,-4.942579448,-2.668660828,-123.9275547,-34.05241105
0.1,0.3,0.65,38.75,-4.951671824,-2.664283496,-125.8384835,-36.00848754
0.1,0.3,0.65,38.8,-4.961705406,-2.659619172,-127.7491574,-37.96261246
0.1,0.3,0.65,38.85,-4.972737873,-2.654719157,-129.6600689,-39.91512302
0.1,0.3,0.65,38.9,-4.984830457,-2.649639591,-131.5716438,-41.8664632
0.1,0.3,0.65,38.95,-4.998046224,-2.644437217,-133.4842376,-43.81723973
0.1,0.3,0.65,39,-5.01244839,-2.639158981,-135.3981339,-45.76829335
0.1,0.3,0.65,39.05,-5.0280987,-2.633820256,-137.3135429,-47.72076873
0.1,0.3,0.65,39.1,-5.045055865,-2.628365139,-139.2306018,-49.67612548
0.1,0.3,0.65,39.15,-5.063374073,-2.622607242,-141.1493764,-51.6359526
0.1,0.3,0.65,39.2,-5.083101568,-2.616173171,-143.0698625,-53.60136824
0.1,0.3,0.65,39.25,-5.10427929,-2.608521421,-144.9919895,-55.57190683
0.1,0.3,0.65,39.3,-5.126939562,-2.599137545,-146.9156237,-57.54444803
0.1,0.3,0.65,39.35,-5.151104792,-2.587877161,-148.8405724,-59.51358318
0.1,0.3,0.65,39.4,-5.176786164,-2.575164557,-150.7665888,-61.47408151
0.1,0.3,0.65,39.45,-5.203982249,-2.561789135,-152.6933772,-63.42354095
0.1,0.3,0.65,39.5,-5.232677458,-2.548493924,-154.6205987,-65.36279103
0.1,0.3,0.65,39.55,-5.262840219,-2.535733689,-156.5478777,-67.29435444
0.1,0.3,0.65,39.6,-5.294420707,-2.523684613,-158.4748092,-69.22085019
0.1,0.3,0.65,39.65,-5.327347848,-2.512358598,-160.400968,-71.14425106
0.1,0.3,0.65,39.7,-5.36152521,-2.501703103,-162.32592,-73.06580253
0.1,0.3,0.65,39.75,-5.396825128,-2.491656707,-164.2492384,-74.98619496
0.1,0.3,0.65,39.8,-5.433080049,-2.482171764,-166.1705283,-76.90575842
0.1,0.3,0.65,39.85,-5.470069407,-2.473219991,-168.0894665,-78.8246085
0.1,0.3,0.65,39.9,-5.507499135,-2.464791071,-170.0058712,-80.74273966
0.1,0.3,0.65,39.95,-5.544968816,-2.456889146,-171.9198328,-82.6600809
0.1,0.3,0.65,40,-5.581917517,-2.449529169,-173.8319702,-84.5765278
0.1,0.3,0.65,40.05,-5.617532256,-2.442733754,-175.7439718,-86.49196099
0.1,0.3,0.65,40.1,-5.650591391,-2.4365306,-177.6598135,-88.40625723
0.1,0.3,0.65,40.15,-5.679205057,-2.43095038,-179.5887213,-90.31929706
0.1,0.3,0.65,40.2,-5.700473022,-2.426024946,178.4469877,-92.23097123
0.1,0.3,0.65,40.25,-5.710712318,-2.42178568,176.3896872,-94.14118778
0.1,0.3,0.65,40.3,-5.711588016,-2.418261804,174.0872147,-96.04988112
0.1,0.3,0.65,40.35,-5.750646743,-2.415478451,171.265813,-97.95702486
0.1,0.3,0.65,40.4,-5.961914529,-2.413454196,168.4558207,-99.86265072
0.1,0.3,0.65,40.45,-6.201452481,-2.412197581,167.0158823,-101.7668773
0.1,0.3,0.65,40.5,-6.306849475,-2.411701849,165.8947724,-103.6699552
0.1,0.3,0.65,40.55,-6.358823339,-2.411936376,164.5161459,-105.5723399
0.1,0.3,0.65,40.6,-6.400564737,-2.412831845,162.9571119,-107.4748154
0.1,0.3,0.65,40.65,-6.442318319,-2.414252749,161.306239,-109.3787124
0.1,0.3,0.65,40.7,-6.485877599,-2.415942311,159.610133,-111.28632
0.1,0.3,0.65,40.75,-6.531160419,-2.417401047,157.8925068,-113.2017198
0.1,0.3,0.65,40.8,-6.577731705,-2.417583917,156.1661172,-115.1326428
0.1,0.3,0.65,40.85,-6.625152057,-2.414005959,154.4383115,-117.095117
