D [mm],coax_inside [mm],QCOAX_D [mm],Freq [GHz],"dB(S(1:1,1:1)) []","dB(S(2:1,1:1)) []","ang_deg(S(1:1,1:1)) [deg]","ang_deg(S(2:1,1:1)) [deg]"
0.1,0.2,0.6,57,-6.60277461,-2.646242021,-62.96480456,26.32020046
0.1,0.2,0.6,57.05,-6.548055985,-2.644505477,-65.15304405,24.25447117
0.1,0.2,0.6,57.1,-6.502298381,-2.643883761,-67.36108487,22.1828659
0.1,0.2,0.6,57.15,-6.466028988,-2.645226005,-69.55997233,20.10066216
0.1,0.2,0.6,57.2,-6.436798714,-2.648633509,-71.72880518,18.01228329
0.1,0.2,0.6,57.25,-6.410642482,-2.653816577,-73.86154714,15.91654213
0.1,0.2,0.6,57.3,-6.384726391,-2.661089989,-75.9673594,13.81274277
0.1,0.2,0.6,57.35,-6.358218693,-2.670722952,-78.05866295,11.70369083
0.1,0.2,0.6,57.4,-6.330866656,-2.682883403,-80.14690548,9.592084242
0.1,0.2,0.6,57.45,-6.303345579,-2.697332864,-82.23828771,7.481454812
0.1,0.2,0.6,57.5,-6.276086808,-2.713870736,-84.33629827,5.373059684
0.1,0.2,0.6,57.55,-6.249538696,-2.732319361,-86.44310062,3.267719542
0.1,0.2,0.6,57.6,-6.224253111,-2.752520138,-88.56026375,1.166475624
0.1,0.2,0.6,57.65,-6.200861666,-2.774330225,-90.68859156,-0.929499548
0.1,0.2,0.6,57.7,-6.18004502,-2.797619235,-92.82799908,-3.018961144
0.1,0.2,0.6,57.75,-6.162497722,-2.822266419,-94.97744887,-5.100631701
0.1,0.2,0.6,57.8,-6.149416855,-2.847728207,-97.13155842,-7.172485235
0.1,0.2,0.6,57.85,-6.141725985,-2.872487812,-99.27507514,-9.229103106
0.1,0.2,0.6,57.9,-6.136793009,-2.895343521,-101.39315,-11.28810759
0.1,0.2,0.6,57.95,-6.13156682,-2.917971186,-103.4963779,-13.36293337
0.1,0.2,0.6,58,-6.1263849,-2.942383084,-105.6032171,-15.45194259
0.1,0.2,0.6,58.05,-6.123141633,-2.969429177,-107.7193247,-17.54778124
0.1,0.2,0.6,58.1,-6.123274535,-2.99918979,-109.8418936,-19.64439549
0.1,0.2,0.6,58.15,-6.127663532,-3.031500528,-111.9661769,-21.73798697
0.1,0.2,0.6,58.2,-6.136947236,-3.066172693,-114.0873104,-23.82629619
0.1,0.2,0.6,58.25,-6.151705647,-3.103049529,-116.2001221,-25.90800934
0.1,0.2,0.6,58.3,-6.172512869,-3.142006749,-118.298479,-27.98249292
0.1,0.2,0.6,58.35,-6.199903278,-3.18293396,-120.3745668,-30.04976221
0.1,0.2,0.6,58.4,-6.234259308,-3.22569954,-122.4182404,-32.11060405
0.1,0.2,0.6,58.45,-6.275610427,-3.270083477,-124.4166561,-34.16678678
0.1,0.2,0.6,58.5,-6.323342834,-3.315646526,-126.354606,-36.22120127
0.1,0.2,0.6,58.55,-6.375823877,-3.366310006,-128.2481566,-38.24373745
0.1,0.2,0.6,58.6,-6.437193403,-3.419146314,-130.0293003,-40.30535842
0.1,0.2,0.6,58.65,-6.503045499,-3.477090725,-131.6733888,-42.38850157
0.1,0.2,0.6,58.7,-6.568056815,-3.543725428,-133.1625793,-44.47687185
0.1,0.2,0.6,58.75,-6.626307504,-3.622975382,-134.4835232,-46.54997395
0.1,0.2,0.6,58.8,-6.670571486,-3.718801009,-135.62297,-48.57615808
0.1,0.2,0.6,58.85,-6.689957782,-3.834368344,-136.571527,-50.50417545
0.1,0.2,0.6,58.9,-6.667538986,-3.969928756,-137.3544401,-52.25507557
0.1,0.2,0.6,58.95,-6.584636385,-4.11855651,-138.0914541,-53.72303959
0.1,0.2,0.6,59,-6.437586541,-4.260292763,-139.0098944,-54.80608297
0.1,0.2,0.6,59.05,-6.250883773,-4.360314491,-140.3119598,-55.48840892
0.1,0.2,0.6,59.1,-6.06156183,-4.382017995,-142.0212818,-55.93708096
0.1,0.2,0.6,59.15,-5.893283721,-4.313866634,-144.0165065,-56.47712134
0.1,0.2,0.6,59.2,-5.751088295,-4.181192767,-146.1606687,-57.39459306
0.1,0.2,0.6,59.25,-5.630192332,-4.02541449,-148.3652227,-58.77461434
0.1,0.2,0.6,59.3,-5.523285106,-3.876327599,-150.5907238,-60.53391227
0.1,0.2,0.6,59.35,-5.423772162,-3.742514868,-152.8374448,-62.58856846
0.1,0.2,0.6,59.4,-5.329720639,-3.648645949,-155.1412129,-64.89619258
0.1,0.2,0.6,59.45,-5.249416842,-3.589438087,-157.523004,-67.18341106
0.1,0.2,0.6,59.5,-5.190060041,-3.545452484,-159.9101861,-69.46194354
0.1,0.2,0.6,59.55,-5.143714384,-3.514697955,-162.2346118,-71.73784711
0.1,0.2,0.6,59.6,-5.101703707,-3.495048316,-164.5049499,-74.00182312
0.1,0.2,0.6,59.65,-5.06149588,-3.48433444,-166.7462091,-76.24770649
0.1,0.2,0.6,59.7,-5.02315054,-3.480748892,-168.9722596,-78.47251051
0.1,0.2,0.6,59.75,-4.987143787,-3.482876421,-171.1884226,-80.67507525
0.1,0.2,0.6,59.8,-4.953850683,-3.48962824,-173.3960166,-82.85515379
0.1,0.2,0.6,59.85,-4.923503053,-3.50016711,-175.594661,-85.01289833
0.1,0.2,0.6,59.9,-4.89622748,-3.513844388,-177.7832614,-87.14858961
0.1,0.2,0.6,59.95,-4.872080966,-3.530151661,-179.9604289,-89.26250247
0.1,0.2,0.6,60,-4.851074573,-3.548684827,177.8753357,-91.35484562
0.1,0.2,0.6,60.05,-4.829210221,-3.566219865,175.7289732,-93.43080355
0.1,0.2,0.6,60.1,-4.808023435,-3.584778043,173.5963753,-95.49163256
0.1,0.2,0.6,60.15,-4.787220449,-3.603029061,171.4759855,-97.53902762
0.1,0.2,0.6,60.2,-4.766544226,-3.620795837,169.3657617,-99.58618711
0.1,0.2,0.6,60.25,-4.745825512,-3.640181012,167.2629479,-101.635024
0.1,0.2,0.6,60.3,-4.72511405,-3.661580159,165.1641615,-103.6752291
0.1,0.2,0.6,60.35,-4.704822408,-3.684265981,163.066821,-105.7027786
0.1,0.2,0.6,60.4,-4.685514383,-3.707729755,160.971748,-107.7175658
0.1,0.2,0.6,60.45,-4.667277782,-3.731687487,158.8825064,-109.72006
0.1,0.2,0.6,60.5,-4.649661712,-3.755946549,156.8007037,-111.7106167
0.1,0.2,0.6,60.55,-4.632273834,-3.780345036,154.7246297,-113.6894616
0.1,0.2,0.6,60.6,-4.6150558,-3.804728903,152.6515664,-115.6567538
0.1,0.2,0.6,60.65,-4.598181091,-3.828943055,150.57937,-117.6126383
0.1,0.2,0.6,60.7,-4.581928763,-3.852827678,148.5067456,-119.5572854
0.1,0.2,0.6,60.75,-4.566625263,-3.876217117,146.4331381,-121.4909255
0.1,0.2,0.6,60.8,-4.552624308,-3.898941076,144.3586565,-123.4138824
0.1,0.2,0.6,60.85,-4.540296436,-3.920829219,142.284097,-125.3266037
0.1,0.2,0.6,60.9,-4.530014328,-3.94172131,140.2110378,-127.229673
0.1,0.2,0.6,60.95,-4.522126438,-3.961484619,138.1419693,-129.1237545
0.1,0.2,0.6,61,-4.516913444,-3.980033313,136.0804167,-131.009358
0.1,0.2,0.6,61.05,-4.514523523,-3.997313603,134.0309853,-132.8862527
0.1,0.2,0.6,61.1,-4.514886769,-4.013142599,131.9992296,-134.7526613
0.1,0.2,0.6,61.15,-4.517618909,-4.026787187,129.9912155,-136.6059571
0.1,0.2,0.6,61.2,-4.521940918,-4.036742852,128.012659,-138.4479221
0.1,0.2,0.6,61.25,-4.526660059,-4.041762229,126.0676321,-140.2899096
0.1,0.2,0.6,61.3,-4.530265249,-4.042123233,124.1570637,-142.1468686
0.1,0.2,0.6,61.35,-4.53116528,-4.039179802,122.2775558,-144.0286138
0.1,0.2,0.6,61.4,-4.528033489,-4.034452887,120.4211825,-145.9396691
0.1,0.2,0.6,61.45,-4.520145573,-4.029454044,118.5766765,-147.8816399
0.1,0.2,0.6,61.5,-4.507569873,-4.02576045,116.7317611,-149.853387
0.1,0.2,0.6,61.55,-4.491130689,-4.0249253,114.8757668,-151.8501095
0.1,0.2,0.6,61.6,-4.472178298,-4.028219626,113.0015731,-153.8629843
0.1,0.2,0.6,61.65,-4.45227977,-4.036343769,111.1063898,-155.8799971
0.1,0.2,0.6,61.7,-4.432943923,-4.049239828,109.191521,-157.8877358
0.1,0.2,0.6,61.75,-4.415434819,-4.066055764,107.2616102,-159.873456
0.1,0.2,0.6,61.8,-4.400662942,-4.085217184,105.3238462,-161.8268527
0.1,0.2,0.6,61.85,-4.389102384,-4.104525567,103.387364,-163.7415556
0.1,0.2,0.6,61.9,-4.380669883,-4.121266864,101.4627236,-165.6169844
0.1,0.2,0.6,61.95,-4.374521687,-4.132482901,99.56091096,-167.4612036
0.1,0.2,0.6,62,-4.36881504,-4.135733533,97.69081622,-169.2938618
0.1,0.2,0.6,62.05,-4.360704287,-4.130497207,95.85422601,-171.1449048
0.1,0.2,0.6,62.1,-4.347098861,-4.11938111,94.03968929,-173.0436824
0.1,0.2,0.6,62.15,-4.326402526,-4.107435834,92.22157842,-175.0022461
0.1,0.2,0.6,62.2,-4.300071988,-4.099410552,90.37104176,-177.0087347
0.1,0.2,0.6,62.25,-4.272083423,-4.097474644,88.4728307,-179.03819
0.1,0.2,0.6,62.3,-4.246537733,-4.101223844,86.5316673,178.9320264
0.1,0.2,0.6,62.35,-4.22580353,-4.109016659,84.5642574,176.9151097
0.1,0.2,0.6,62.4,-4.210365854,-4.119113756,82.58828963,174.9157299
0.1,0.2,0.6,62.45,-4.199584194,-4.130167403,80.616798,172.933515
0.1,0.2,0.6,62.5,-4.192412687,-4.141284867,78.65753914,170.9659017
0.1,0.2,0.6,62.55,-4.187793285,-4.151934631,76.71434882,169.0097544
0.1,0.2,0.6,62.6,-4.184800005,-4.161832715,74.7886223,167.0620978
0.1,0.2,0.6,62.65,-4.182660596,-4.170852925,72.88036384,165.1203726
0.1,0.2,0.6,62.7,-4.180733945,-4.178965706,70.98881412,163.1824757
0.1,0.2,0.6,62.75,-4.178478494,-4.18619919,69.11279112,161.2467155
0.1,0.2,0.6,62.8,-4.175424112,-4.192615216,67.25086172,159.3117458
0.1,0.2,0.6,62.85,-4.171150286,-4.19829484,65.40141988,157.376501
0.1,0.2,0.6,62.9,-4.165270129,-4.203329678,63.56271501,155.4401405
0.1,0.2,0.6,62.95,-4.157418922,-4.207816776,61.73285396,153.502005
0.1,0.2,0.6,63,-4.147245942,-4.211855616,59.90978916,151.5615813
0.1,0.2,0.7,57,-3.787840792,-4.718046932,-83.3246715,6.436197522
0.1,0.2,0.7,57.05,-3.753699033,-4.715838317,-85.49454679,4.316043482
0.1,0.2,0.7,57.1,-3.730329057,-4.721692797,-87.66029015,2.194820636
0.1,0.2,0.7,57.15,-3.716057608,-4.73386703,-89.80342164,0.08356259
0.1,0.2,0.7,57.2,-3.708334443,-4.751367198,-91.9061179,-2.014805585
0.1,0.2,0.7,57.25,-3.703068091,-4.774381747,-93.95598394,-4.091069722
0.1,0.2,0.7,57.3,-3.694400944,-4.80125879,-95.95742159,-6.120458266
0.1,0.2,0.7,57.35,-3.677821066,-4.824919265,-97.95076999,-8.092850445
0.1,0.2,0.7,57.4,-3.656360261,-4.839392353,-99.99324372,-10.05767857
0.1,0.2,0.7,57.45,-3.636808597,-4.84979452,-102.0677896,-12.06592014
0.1,0.2,0.7,57.5,-3.619414972,-4.862078862,-104.1667243,-14.11580016
0.1,0.2,0.7,57.55,-3.607696703,-4.878705519,-106.2789945,-16.18802941
0.1,0.2,0.7,57.6,-3.597874799,-4.90021849,-108.3963251,-18.26621719
0.1,0.2,0.7,57.65,-3.590900387,-4.926348357,-110.5267887,-20.33914555
0.1,0.2,0.7,57.7,-3.58710601,-4.956584601,-112.6677182,-22.39963494
0.1,0.2,0.7,57.75,-3.5865866,-4.990401855,-114.8169283,-24.44310578
0.1,0.2,0.7,57.8,-3.593896876,-5.032492247,-117.0336341,-26.42878565
0.1,0.2,0.7,57.85,-3.609716029,-5.068395082,-119.1784106,-28.37664821
0.1,0.2,0.7,57.9,-3.627443848,-5.096990471,-121.2616507,-30.3104697
0.1,0.2,0.7,57.95,-3.643403556,-5.119335375,-123.3116316,-32.25848103
0.1,0.2,0.7,58,-3.657252109,-5.139037346,-125.356567,-34.24052328
0.1,0.2,0.7,58.05,-3.670639934,-5.160581936,-127.4138557,-36.2565396
0.1,0.2,0.7,58.1,-3.685739556,-5.18683255,-129.4889576,-38.28963661
0.1,0.2,0.7,58.15,-3.704418605,-5.218130579,-131.57889,-40.32004236
0.1,0.2,0.7,58.2,-3.727990004,-5.253221224,-133.676079,-42.33534405
0.1,0.2,0.7,58.25,-3.757252484,-5.290500317,-135.7710522,-44.33191016
0.1,0.2,0.7,58.3,-3.792620055,-5.328691384,-137.8539792,-46.31189094
0.1,0.2,0.7,58.35,-3.834249976,-5.367004529,-139.9154628,-48.28008702
0.1,0.2,0.7,58.4,-3.882141867,-5.40506757,-141.9469167,-50.2420165
0.1,0.2,0.7,58.45,-3.936206263,-5.44281064,-143.9407401,-52.20299531
0.1,0.2,0.7,58.5,-3.996308395,-5.480369607,-145.8903931,-54.16778814
0.1,0.2,0.7,58.55,-4.062753388,-5.518182468,-147.787053,-56.1469683
0.1,0.2,0.7,58.6,-4.135233055,-5.559078484,-149.6116047,-58.14266934
0.1,0.2,0.7,58.65,-4.212984892,-5.604545541,-151.3454189,-60.15902729
0.1,0.2,0.7,58.7,-4.294300857,-5.657082217,-152.9657441,-62.20034232
0.1,0.2,0.7,58.75,-4.375927686,-5.720946934,-154.4466963,-64.26779576
0.1,0.2,0.7,58.8,-4.452287199,-5.803053422,-155.7628824,-66.34935329
0.1,0.2,0.7,58.85,-4.514723646,-5.912806841,-156.8978599,-68.39699678
0.1,0.2,0.7,58.9,-4.551416972,-6.057714441,-157.8594824,-70.2961016
0.1,0.2,0.7,58.95,-4.549229365,-6.23278332,-158.7005083,-71.86687297
0.1,0.2,0.7,59,-4.498881628,-6.411661481,-159.5321681,-72.94323245
0.1,0.2,0.7,59.05,-4.402668748,-6.550852699,-160.5039332,-73.48099768
0.1,0.2,0.7,59.1,-4.278259753,-6.603146656,-161.7296409,-73.62416984
0.1,0.2,0.7,59.15,-4.149051411,-6.538408832,-163.2053614,-73.72702067
0.1,0.2,0.7,59.2,-4.025521278,-6.37006991,-164.8347429,-74.23518546
0.1,0.2,0.7,59.25,-3.902572317,-6.153988316,-166.5613067,-75.40944908
0.1,0.2,0.7,59.3,-3.776796212,-5.948867235,-168.4133517,-77.19700223
0.1,0.2,0.7,59.35,-3.654630192,-5.785428319,-170.4224107,-79.37696456
0.1,0.2,0.7,59.4,-3.545217985,-5.668094872,-172.5716461,-81.74031252
0.1,0.2,0.7,59.45,-3.453884762,-5.589157384,-174.8125777,-84.15474658
0.1,0.2,0.7,59.5,-3.381375939,-5.538628192,-177.0933756,-86.55355845
0.1,0.2,0.7,59.55,-3.325376482,-5.507988953,-179.3722797,-88.90809732
0.1,0.2,0.7,59.6,-3.281716191,-5.489947461,178.3786856,-91.20549876
0.1,0.2,0.7,59.65,-3.245201351,-5.475700731,176.1694465,-93.48615195
0.1,0.2,0.7,59.7,-3.211575334,-5.478188228,173.9876319,-95.74826098
0.1,0.2,0.7,59.75,-3.180134394,-5.48468763,171.8113689,-97.94131603
0.1,0.2,0.7,59.8,-3.152773294,-5.493648962,169.6337657,-100.102237
0.1,0.2,0.7,59.85,-3.13054516,-5.505048082,167.4639495,-102.2380428
0.1,0.2,0.7,59.9,-3.112816182,-5.518580276,165.3119371,-104.3524732
0.1,0.2,0.7,59.95,-3.098321515,-5.533979862,163.1820832,-106.4484166
0.1,0.2,0.7,60,-3.08591382,-5.55106108,161.0743824,-108.5281722
0.1,0.2,0.7,60.05,-3.07365198,-5.571564101,158.991124,-110.5699024
0.1,0.2,0.7,60.1,-3.061812054,-5.590642255,156.9197809,-112.5995739
0.1,0.2,0.7,60.15,-3.049970627,-5.609005213,154.8571228,-114.6180823
0.1,0.2,0.7,60.2,-3.038132986,-5.627062498,152.79771,-116.625998
0.1,0.2,0.7,60.25,-3.027077503,-5.645040238,150.7377903,-118.6236915
0.1,0.2,0.7,60.3,-3.01771353,-5.663047241,148.6801972,-120.6114139
0.1,0.2,0.7,60.35,-3.010087437,-5.681114278,146.6310535,-122.5893501
0.1,0.2,0.7,60.4,-3.003596156,-5.699218369,144.5934559,-124.5576545
0.1,0.2,0.7,60.45,-2.997667609,-5.717298255,142.5669845,-126.5164753
0.1,0.2,0.7,60.5,-2.991980677,-5.735264461,140.5498719,-128.4659729
0.1,0.2,0.7,60.55,-2.986404356,-5.75300591,138.5402767,-130.4063339
0.1,0.2,0.7,60.6,-2.980916003,-5.770394256,136.5366302,-132.3377831
0.1,0.2,0.7,60.65,-2.97555657,-5.787286719,134.5376573,-134.2605958
0.1,0.2,0.7,60.7,-2.970412084,-5.803527937,132.5423488,-136.1751108
0.1,0.2,0.7,60.75,-2.965606933,-5.81895129,130.5499664,-138.0817466
0.1,0.2,0.7,60.8,-2.961300123,-5.833380152,128.5600897,-139.9810212
0.1,0.2,0.7,60.85,-2.95767881,-5.846629604,126.5727051,-141.8735787
0.1,0.2,0.7,60.9,-2.954944236,-5.85850932,124.5883213,-143.7602241
0.1,0.2,0.7,60.95,-2.953285377,-5.868828551,122.6080858,-145.6419686
0.1,0.2,0.7,61,-2.952836756,-5.877404385,120.6338503,-147.5200894
0.1,0.2,0.7,61.05,-2.95362147,-5.884074669,118.6681027,-149.396201
0.1,0.2,0.7,61.1,-2.955490077,-5.888717021,116.7136725,-151.272336
0.1,0.2,0.7,61.15,-2.958079329,-5.891275211,114.7731549,-153.1510161
0.1,0.2,0.7,61.2,-2.960823407,-5.891793531,112.8481296,-155.0352807
0.1,0.2,0.7,61.25,-2.963040628,-5.890458272,110.9384311,-156.9286163
0.1,0.2,0.7,61.3,-2.964084109,-5.887642093,109.0418282,-158.8347133
0.1,0.2,0.7,61.35,-2.963502926,-5.883940672,107.1543504,-160.7569856
0.1,0.2,0.7,61.4,-2.961146114,-5.880182262,105.2711687,-162.6978377
0.1,0.2,0.7,61.45,-2.957172426,-5.877384067,103.3876488,-164.6577728
0.1,0.2,0.7,61.5,-2.951980002,-5.876634523,101.5001674,-166.6345825
0.1,0.2,0.7,61.55,-2.946102142,-5.878905726,99.60649692,-168.6229693
0.1,0.2,0.7,61.6,-2.940113191,-5.884840254,97.70580887,-170.6148992
0.1,0.2,0.7,61.65,-2.93456725,-5.894586041,95.79846985,-172.600709
0.1,0.2,0.7,61.7,-2.929974716,-5.907741386,93.88578804,-174.57061
0.1,0.2,0.7,61.75,-2.926835812,-5.923416076,91.96970866,-176.5160212
0.1,0.2,0.7,61.8,-2.926261918,-5.940348541,90.04942539,-178.4303082
0.1,0.2,0.7,61.85,-2.923632532,-5.956986409,88.14592324,179.6910513
0.1,0.2,0.7,61.9,-2.926630468,-5.971458403,86.24322357,177.8503198
0.1,0.2,0.7,61.95,-2.930713461,-5.981447627,84.35696057,176.0463245
0.1,0.2,0.7,62,-2.935536664,-5.984163525,82.49419917,174.2710184
0.1,0.2,0.7,62.05,-2.939409756,-5.976931601,80.66030574,172.5039347
0.1,0.2,0.7,62.1,-2.939720007,-5.958977008,78.85312378,170.7100584
0.1,0.2,0.7,62.15,-2.934003321,-5.933572068,77.0567376,168.8522747
0.1,0.2,0.7,62.2,-2.921964841,-5.907435479,75.243993,166.9168922
0.1,0.2,0.7,62.25,-2.906420596,-5.886466448,73.3926409,164.9237648
0.1,0.2,0.7,62.3,-2.891463962,-5.872522764,71.49973296,162.9067129
0.1,0.2,0.7,62.35,-2.879903659,-5.864224979,69.57831516,160.8906746
0.1,0.2,0.7,62.4,-2.872542674,-5.859273531,67.64488584,158.8857293
0.1,0.2,0.7,62.45,-2.868915082,-5.855842259,65.71166947,156.8917871
0.1,0.2,0.7,62.5,-2.868123315,-5.852956856,63.78548687,154.9042289
0.1,0.2,0.7,62.55,-2.869279885,-5.850460644,61.86927882,152.9177856
0.1,0.2,0.7,62.6,-2.871648889,-5.848830674,59.96372868,150.9295273
0.1,0.2,0.7,62.65,-2.87465517,-5.848738925,58.06832358,148.9412153
0.1,0.2,0.7,62.7,-2.877855035,-5.850350253,56.18193183,146.9587444
0.1,0.2,0.7,62.75,-2.880904711,-5.852964694,54.30308736,144.9872471
0.1,0.2,0.7,62.8,-2.883536383,-5.855529147,52.43012082,143.0266345
0.1,0.2,0.7,62.85,-2.885542419,-5.857378537,50.56121668,141.0725095
0.1,0.2,0.7,62.9,-2.886765998,-5.858426098,48.69443808,139.1197778
0.1,0.2,0.7,62.95,-2.887096201,-5.858937472,46.82773952,137.164765
0.1,0.2,0.7,63,-2.886466049,-5.859290491,44.95897725,135.2054403
0.1,0.2,0.8,57,-2.704321422,-6.896069097,-100.7778547,-10.92706322
0.1,0.2,0.8,57.05,-2.67552826,-6.885089883,-102.9588785,-13.14579969
0.1,0.2,0.8,57.1,-2.660112263,-6.882519578,-105.1561305,-15.39857385
0.1,0.2,0.8,57.15,-2.657675903,-6.889002678,-107.3472768,-17.688688
0.1,0.2,0.8,57.2,-2.667769193,-6.907480961,-109.5097938,-20.02496796
0.1,0.2,0.8,57.25,-2.68988063,-6.94511655,-111.6125488,-22.406324
0.1,0.2,0.8,57.3,-2.720713158,-7.013643955,-113.6032166,-24.78579972
0.1,0.2,0.8,57.35,-2.747070237,-7.122223729,-115.4290766,-27.00667609
0.1,0.2,0.8,57.4,-2.74642547,-7.252765052,-117.1325991,-28.80602198
0.1,0.2,0.8,57.45,-2.71354293,-7.33699251,-118.9525478,-30.20188645
0.1,0.2,0.8,57.5,-2.676563391,-7.352605452,-120.9594756,-31.57390778
0.1,0.2,0.8,57.55,-2.649719233,-7.328798147,-123.0751891,-33.17860852
0.1,0.2,0.8,57.6,-2.635094867,-7.300075178,-125.2375463,-35.04789659
0.1,0.2,0.8,57.65,-2.63147251,-7.286485531,-127.4131615,-37.10526872
0.1,0.2,0.8,57.7,-2.637297053,-7.29534823,-129.5850216,-39.26371727
0.1,0.2,0.8,57.75,-2.651292968,-7.32739632,-131.7439885,-41.45753868
0.1,0.2,0.8,57.8,-2.661998114,-7.402117765,-133.8207525,-43.54029843
0.1,0.2,0.8,57.85,-2.678251255,-7.490383872,-135.9177414,-45.42164396
0.1,0.2,0.8,57.9,-2.700542388,-7.574346141,-138.0175083,-47.00641813
0.1,0.2,0.8,57.95,-2.728146358,-7.618266737,-140.0976764,-48.32751334
0.1,0.2,0.8,58,-2.757923301,-7.60148671,-142.1391119,-49.6640813
0.1,0.2,0.8,58.05,-2.784933834,-7.551154579,-144.1450132,-51.27730786
0.1,0.2,0.8,58.1,-2.806709478,-7.505264267,-146.1475909,-53.15328916
0.1,0.2,0.8,58.15,-2.82619304,-7.478043596,-148.178521,-55.15808161
0.1,0.2,0.8,58.2,-2.8485003,-7.467586874,-150.2418097,-57.19648164
0.1,0.2,0.8,58.25,-2.877005169,-7.468330486,-152.3217447,-59.22703386
0.1,0.2,0.8,58.3,-2.912875034,-7.475576624,-154.4000713,-61.23791302
0.1,0.2,0.8,58.35,-2.956106513,-7.486099558,-156.4630507,-63.22999174
0.1,0.2,0.8,58.4,-3.006305219,-7.497816403,-158.5015667,-65.20897727
0.1,0.2,0.8,58.45,-3.063015731,-7.509416319,-160.5096203,-67.18222118
0.1,0.2,0.8,58.5,-3.125817339,-7.520103243,-162.4831002,-69.15751242
0.1,0.2,0.8,58.55,-3.19556433,-7.532211245,-164.4028815,-71.15656202
0.1,0.2,0.8,58.6,-3.272405989,-7.546050804,-166.2596819,-73.17861218
0.1,0.2,0.8,58.65,-3.355821712,-7.563322147,-168.0332312,-75.23589656
0.1,0.2,0.8,58.7,-3.444203985,-7.587420568,-169.6991035,-77.3414534
0.1,0.2,0.8,58.75,-3.534261438,-7.624427035,-171.2306903,-79.50315115
0.1,0.2,0.8,58.8,-3.620411108,-7.683975305,-172.6041074,-81.70909384
0.1,0.2,0.8,58.85,-3.694491332,-7.778565941,-173.8069699,-83.90028846
0.1,0.2,0.8,58.9,-3.746337892,-7.918396323,-174.8501407,-85.93698431
0.1,0.2,0.8,58.95,-3.765686201,-8.099410953,-175.7778745,-87.59402985
0.1,0.2,0.8,59,-3.745065489,-8.289860314,-176.6686523,-88.64222421
0.1,0.2,0.8,59.05,-3.681625848,-8.430982812,-177.6232028,-89.01370088
0.1,0.2,0.8,59.1,-3.569905533,-8.461127689,-178.7786158,-88.92907674
0.1,0.2,0.8,59.15,-3.599704502,-8.350068294,179.5429225,-88.85880037
0.1,0.2,0.8,59.2,-3.408387199,-8.120043398,178.5411808,-89.31647372
0.1,0.2,0.8,59.25,-3.274234039,-7.836547893,176.872425,-90.59931916
0.1,0.2,0.8,59.3,-3.155330694,-7.571505432,175.0352409,-92.66507964
0.1,0.2,0.8,59.35,-3.049591513,-7.368632482,173.0788377,-95.240129
0.1,0.2,0.8,59.4,-2.956824299,-7.236598414,171.0397297,-98.02278592
0.1,0.2,0.8,59.45,-2.876221763,-7.163064807,168.94623,-100.8048881
0.1,0.2,0.8,59.5,-2.806485794,-7.13001074,166.8190013,-103.4842304
