D [mm],coax_inside [mm],QCOAX_D [mm],freq
0.1,0.1,0.65,57
0.1,0.1,0.65,57.01
0.1,0.1,0.65,57.02
0.1,0.1,0.65,57.03
0.1,0.1,0.65,57.04
0.1,0.1,0.65,57.05
0.1,0.1,0.65,57.06
0.1,0.1,0.65,57.07
0.1,0.1,0.65,57.08
0.1,0.1,0.65,57.09
0.1,0.1,0.65,57.1
0.1,0.1,0.65,57.11
0.1,0.1,0.65,57.12
0.1,0.1,0.65,57.13
0.1,0.1,0.65,57.14
0.1,0.1,0.65,57.15
0.1,0.1,0.65,57.16
0.1,0.1,0.65,57.17
0.1,0.1,0.65,57.18
0.1,0.1,0.65,57.19
0.1,0.1,0.65,57.2
0.1,0.1,0.65,57.21
0.1,0.1,0.65,57.22
0.1,0.1,0.65,57.23
0.1,0.1,0.65,57.24
0.1,0.1,0.65,57.25
0.1,0.1,0.65,57.26
0.1,0.1,0.65,57.27
0.1,0.1,0.65,57.28
0.1,0.1,0.65,57.29
0.1,0.1,0.65,57.3
0.1,0.1,0.65,57.31
0.1,0.1,0.65,57.32
0.1,0.1,0.65,57.33
0.1,0.1,0.65,57.34
0.1,0.1,0.65,57.35
0.1,0.1,0.65,57.36
0.1,0.1,0.65,57.37
0.1,0.1,0.65,57.38
0.1,0.1,0.65,57.39
0.1,0.1,0.65,57.4
0.1,0.1,0.65,57.41
0.1,0.1,0.65,57.42
0.1,0.1,0.65,57.43
0.1,0.1,0.65,57.44
0.1,0.1,0.65,57.45
0.1,0.1,0.65,57.46
0.1,0.1,0.65,57.47
0.1,0.1,0.65,57.48
0.1,0.1,0.65,57.49
0.1,0.1,0.65,57.5
0.1,0.1,0.65,57.51
0.1,0.1,0.65,57.52
0.1,0.1,0.65,57.53
0.1,0.1,0.65,57.54
0.1,0.1,0.65,57.55
0.1,0.1,0.65,57.56
0.1,0.1,0.65,57.57
0.1,0.1,0.65,57.58
0.1,0.1,0.65,57.59
0.1,0.1,0.65,57.6
0.1,0.1,0.65,57.61
0.1,0.1,0.65,57.62
0.1,0.1,0.65,57.63
0.1,0.1,0.65,57.64
0.1,0.1,0.65,57.65
0.1,0.1,0.65,57.66
0.1,0.1,0.65,57.67
0.1,0.1,0.65,57.68
0.1,0.1,0.65,57.69
0.1,0.1,0.65,57.7
0.1,0.1,0.65,57.71
0.1,0.1,0.65,57.72
0.1,0.1,0.65,57.73
0.1,0.1,0.65,57.74
0.1,0.1,0.65,57.75
0.1,0.1,0.65,57.76
0.1,0.1,0.65,57.77
0.1,0.1,0.65,57.78
0.1,0.1,0.65,57.79
0.1,0.1,0.65,57.8
0.1,0.1,0.65,57.81
0.1,0.1,0.65,57.82
0.1,0.1,0.65,57.83
0.1,0.1,0.65,57.84
0.1,0.1,0.65,57.85
0.1,0.1,0.65,57.86
0.1,0.1,0.65,57.87
0.1,0.1,0.65,57.88
0.1,0.1,0.65,57.89
0.1,0.1,0.65,57.9
0.1,0.1,0.65,57.91
0.1,0.1,0.65,57.92
0.1,0.1,0.65,57.93
0.1,0.1,0.65,57.94
0.1,0.1,0.65,57.95
0.1,0.1,0.65,57.96
0.1,0.1,0.65,57.97
0.1,0.1,0.65,57.98
0.1,0.1,0.65,57.99
0.1,0.1,0.65,58
0.1,0.1,0.65,58.01
0.1,0.1,0.65,58.02
0.1,0.1,0.65,58.03
0.1,0.1,0.65,58.04
0.1,0.1,0.65,58.05
0.1,0.1,0.65,58.06
0.1,0.1,0.65,58.07
0.1,0.1,0.65,58.08
0.1,0.1,0.65,58.09
0.1,0.1,0.65,58.1
0.1,0.1,0.65,58.11
0.1,0.1,0.65,58.12
0.1,0.1,0.65,58.13
0.1,0.1,0.65,58.14
0.1,0.1,0.65,58.15
0.1,0.1,0.65,58.16
0.1,0.1,0.65,58.17
0.1,0.1,0.65,58.18
0.1,0.1,0.65,58.19
0.1,0.1,0.65,58.2
0.1,0.1,0.65,58.21
0.1,0.1,0.65,58.22
0.1,0.1,0.65,58.23
0.1,0.1,0.65,58.24
0.1,0.1,0.65,58.25
0.1,0.1,0.65,58.26
0.1,0.1,0.65,58.27
0.1,0.1,0.65,58.28
0.1,0.1,0.65,58.29
0.1,0.1,0.65,58.3
0.1,0.1,0.65,58.31
0.1,0.1,0.65,58.32
0.1,0.1,0.65,58.33
0.1,0.1,0.65,58.34
0.1,0.1,0.65,58.35
0.1,0.1,0.65,58.36
0.1,0.1,0.65,58.37
0.1,0.1,0.65,58.38
0.1,0.1,0.65,58.39
0.1,0.1,0.65,58.4
0.1,0.1,0.65,58.41
0.1,0.1,0.65,58.42
0.1,0.1,0.65,58.43
0.1,0.1,0.65,58.44
0.1,0.1,0.65,58.45
0.1,0.1,0.65,58.46
0.1,0.1,0.65,58.47
0.1,0.1,0.65,58.48
0.1,0.1,0.65,58.49
0.1,0.1,0.65,58.5
0.1,0.1,0.65,58.51
0.1,0.1,0.65,58.52
0.1,0.1,0.65,58.53
0.1,0.1,0.65,58.54
0.1,0.1,0.65,58.55
0.1,0.1,0.65,58.56
0.1,0.1,0.65,58.57
0.1,0.1,0.65,58.58
0.1,0.1,0.65,58.59
0.1,0.1,0.65,58.6
0.1,0.1,0.65,58.61
0.1,0.1,0.65,58.62
0.1,0.1,0.65,58.63
0.1,0.1,0.65,58.64
0.1,0.1,0.65,58.65
0.1,0.1,0.65,58.66
0.1,0.1,0.65,58.67
0.1,0.1,0.65,58.68
0.1,0.1,0.65,58.69
0.1,0.1,0.65,58.7
0.1,0.1,0.65,58.71
0.1,0.1,0.65,58.72
0.1,0.1,0.65,58.73
0.1,0.1,0.65,58.74
0.1,0.1,0.65,58.75
0.1,0.1,0.65,58.76
0.1,0.1,0.65,58.77
0.1,0.1,0.65,58.78
0.1,0.1,0.65,58.79
0.1,0.1,0.65,58.8
0.1,0.1,0.65,58.81
0.1,0.1,0.65,58.82
0.1,0.1,0.65,58.83
0.1,0.1,0.65,58.84
0.1,0.1,0.65,58.85
0.1,0.1,0.65,58.86
0.1,0.1,0.65,58.87
0.1,0.1,0.65,58.88
0.1,0.1,0.65,58.89
0.1,0.1,0.65,58.9
0.1,0.1,0.65,58.91
0.1,0.1,0.65,58.92
0.1,0.1,0.65,58.93
0.1,0.1,0.65,58.94
0.1,0.1,0.65,58.95
0.1,0.1,0.65,58.96
0.1,0.1,0.65,58.97
0.1,0.1,0.65,58.98
0.1,0.1,0.65,58.99
0.1,0.1,0.65,59
0.1,0.1,0.65,59.01
0.1,0.1,0.65,59.02
0.1,0.1,0.65,59.03
0.1,0.1,0.65,59.04
0.1,0.1,0.65,59.05
0.1,0.1,0.65,59.06
0.1,0.1,0.65,59.07
0.1,0.1,0.65,59.08
0.1,0.1,0.65,59.09
0.1,0.1,0.65,59.1
0.1,0.1,0.65,59.11
0.1,0.1,0.65,59.12
0.1,0.1,0.65,59.13
0.1,0.1,0.65,59.14
0.1,0.1,0.65,59.15
0.1,0.1,0.65,59.16
0.1,0.1,0.65,59.17
0.1,0.1,0.65,59.18
0.1,0.1,0.65,59.19
0.1,0.1,0.65,59.2
0.1,0.1,0.65,59.21
0.1,0.1,0.65,59.22
0.1,0.1,0.65,59.23
0.1,0.1,0.65,59.24
0.1,0.1,0.65,59.25
0.1,0.1,0.65,59.26
0.1,0.1,0.65,59.27
0.1,0.1,0.65,59.28
0.1,0.1,0.65,59.29
0.1,0.1,0.65,59.3
0.1,0.1,0.65,59.31
0.1,0.1,0.65,59.32
0.1,0.1,0.65,59.33
0.1,0.1,0.65,59.34
0.1,0.1,0.65,59.35
0.1,0.1,0.65,59.36
0.1,0.1,0.65,59.37
0.1,0.1,0.65,59.38
0.1,0.1,0.65,59.39
0.1,0.1,0.65,59.4
0.1,0.1,0.65,59.41
0.1,0.1,0.65,59.42
0.1,0.1,0.65,59.43
0.1,0.1,0.65,59.44
0.1,0.1,0.65,59.45
0.1,0.1,0.65,59.46
0.1,0.1,0.65,59.47
0.1,0.1,0.65,59.48
0.1,0.1,0.65,59.49
0.1,0.1,0.65,59.5
0.1,0.1,0.65,59.51
0.1,0.1,0.65,59.52
0.1,0.1,0.65,59.53
0.1,0.1,0.65,59.54
0.1,0.1,0.65,59.55
0.1,0.1,0.65,59.56
0.1,0.1,0.65,59.57
0.1,0.1,0.65,59.58
0.1,0.1,0.65,59.59
0.1,0.1,0.65,59.6
0.1,0.1,0.65,59.61
0.1,0.1,0.65,59.62
0.1,0.1,0.65,59.63
0.1,0.1,0.65,59.64
0.1,0.1,0.65,59.65
0.1,0.1,0.65,59.66
0.1,0.1,0.65,59.67
0.1,0.1,0.65,59.68
0.1,0.1,0.65,59.69
0.1,0.1,0.65,59.7
0.1,0.1,0.65,59.71
0.1,0.1,0.65,59.72
0.1,0.1,0.65,59.73
0.1,0.1,0.65,59.74
0.1,0.1,0.65,59.75
0.1,0.1,0.65,59.76
0.1,0.1,0.65,59.77
0.1,0.1,0.65,59.78
0.1,0.1,0.65,59.79
0.1,0.1,0.65,59.8
0.1,0.1,0.65,59.81
0.1,0.1,0.65,59.82
0.1,0.1,0.65,59.83
0.1,0.1,0.65,59.84
0.1,0.1,0.65,59.85
0.1,0.1,0.65,59.86
0.1,0.1,0.65,59.87
0.1,0.1,0.65,59.88
0.1,0.1,0.65,59.89
0.1,0.1,0.65,59.9
0.1,0.1,0.65,59.91
0.1,0.1,0.65,59.92
0.1,0.1,0.65,59.93
0.1,0.1,0.65,59.94
0.1,0.1,0.65,59.95
0.1,0.1,0.65,59.96
0.1,0.1,0.65,59.97
0.1,0.1,0.65,59.98
0.1,0.1,0.65,59.99
0.1,0.1,0.65,60
0.1,0.1,0.65,60.01
0.1,0.1,0.65,60.02
0.1,0.1,0.65,60.03
0.1,0.1,0.65,60.04
0.1,0.1,0.65,60.05
0.1,0.1,0.65,60.06
0.1,0.1,0.65,60.07
0.1,0.1,0.65,60.08
0.1,0.1,0.65,60.09
0.1,0.1,0.65,60.1
0.1,0.1,0.65,60.11
0.1,0.1,0.65,60.12
0.1,0.1,0.65,60.13
0.1,0.1,0.65,60.14
0.1,0.1,0.65,60.15
0.1,0.1,0.65,60.16
0.1,0.1,0.65,60.17
0.1,0.1,0.65,60.18
0.1,0.1,0.65,60.19
0.1,0.1,0.65,60.2
0.1,0.1,0.65,60.21
0.1,0.1,0.65,60.22
0.1,0.1,0.65,60.23
0.1,0.1,0.65,60.24
0.1,0.1,0.65,60.25
0.1,0.1,0.65,60.26
0.1,0.1,0.65,60.27
0.1,0.1,0.65,60.28
0.1,0.1,0.65,60.29
0.1,0.1,0.65,60.3
0.1,0.1,0.65,60.31
