D [mm],coax_inside [mm],QCOAX_D [mm],Freq [GHz],"dB(S(1:1,1:1)) []","dB(S(2:1,1:1)) []","ang_deg(S(1:1,1:1)) [deg]","ang_deg(S(2:1,1:1)) [deg]"
0.1,0.1,0.65,57,-1.340065682,-16.79365325,-150.9702852,116.1903737
0.1,0.1,0.65,57.05,-1.333262163,-16.85244957,-152.8988298,113.9539898
0.1,0.1,0.65,57.1,-1.327529853,-16.93821826,-154.7960257,111.9297873
0.1,0.1,0.65,57.15,-1.317619232,-17.03097995,-156.6728956,110.267096
0.1,0.1,0.65,57.2,-1.302279032,-17.0836538,-158.5748145,108.9283691
0.1,0.1,0.65,57.25,-1.287087207,-17.0807379,-160.524196,107.5938828
0.1,0.1,0.65,57.3,-1.27607459,-17.0500626,-162.5053169,106.0766014
0.1,0.1,0.65,57.35,-1.269841269,-17.01658616,-164.4995435,104.3988959
0.1,0.1,0.65,57.4,-1.267833467,-16.98973608,-166.4962737,102.6285037
0.1,0.1,0.65,57.45,-1.26907422,-16.96929242,-168.4891642,100.8333354
0.1,0.1,0.65,57.5,-1.272932395,-16.95400859,-170.4765455,99.03153453
0.1,0.1,0.65,57.55,-1.278985202,-16.94293665,-172.458039,97.22515152
0.1,0.1,0.65,57.6,-1.286849371,-16.93504438,-174.4333491,95.42173083
0.1,0.1,0.65,57.65,-1.296177718,-16.93015236,-176.4022356,93.63392915
0.1,0.1,0.65,57.7,-1.306655944,-16.92940045,-178.364492,91.87188106
0.1,0.1,0.65,57.75,-1.317999691,-16.93427381,179.6800714,90.13696816
0.1,0.1,0.65,57.8,-1.329348879,-16.9393519,177.7236911,88.52033847
0.1,0.1,0.65,57.85,-1.342191211,-16.93587213,175.7666577,86.92862817
0.1,0.1,0.65,57.9,-1.356553324,-16.92482486,173.8092647,85.3540136
0.1,0.1,0.65,57.95,-1.372545382,-16.9071504,171.8516639,83.79165591
0.1,0.1,0.65,58,-1.390380005,-16.88359541,169.894166,82.23963024
0.1,0.1,0.65,58.05,-1.410362115,-16.85452993,167.9376364,80.6985187
0.1,0.1,0.65,58.1,-1.432839223,-16.8197431,165.9838414,79.17036666
0.1,0.1,0.65,58.15,-1.458121884,-16.77827568,164.0355538,77.6567086
0.1,0.1,0.65,58.2,-1.486405586,-16.72839822,162.0963188,76.1556172
0.1,0.1,0.65,58.25,-1.517728497,-16.66786627,160.1699673,74.6583343
0.1,0.1,0.65,58.3,-1.551978884,-16.59451968,158.2600958,73.14683891
0.1,0.1,0.65,58.35,-1.588938989,-16.50711147,156.3697128,71.59405958
0.1,0.1,0.65,58.4,-1.628339573,-16.406044,154.5011174,69.96758833
0.1,0.1,0.65,58.45,-1.669904704,-16.29364962,152.655959,68.23583389
0.1,0.1,0.65,58.5,-1.713378952,-16.17387817,150.8353822,66.37400365
0.1,0.1,0.65,58.55,-1.75923317,-16.05236868,149.0389041,64.35989017
0.1,0.1,0.65,58.6,-1.808202731,-15.93277187,147.271553,62.19770573
0.1,0.1,0.65,58.65,-1.860782377,-15.82030455,145.5423749,59.86193017
0.1,0.1,0.65,58.7,-1.91711045,-15.7231825,143.8641492,57.32862355
0.1,0.1,0.65,58.75,-1.976675008,-15.6539073,142.2536923,54.58420681
0.1,0.1,0.65,58.8,-2.037873344,-15.6305776,140.7313564,51.6440142
0.1,0.1,0.65,58.85,-2.097441354,-15.67714797,139.3187255,48.58769292
0.1,0.1,0.65,58.9,-2.149903884,-15.81958682,138.0331516,45.61723421
0.1,0.1,0.65,58.95,-2.187447584,-16.07141469,136.8781977,43.12310723
0.1,0.1,0.65,59,-2.200871308,-16.40118474,135.8315007,41.67024093
0.1,0.1,0.65,59.05,-2.182111977,-16.69490999,134.8364353,41.69722201
0.1,0.1,0.65,59.1,-2.127780293,-16.78423889,133.8074884,42.88651125
0.1,0.1,0.65,59.15,-2.041615866,-16.59057858,132.6537104,44.00953871
0.1,0.1,0.65,59.2,-1.933692198,-16.21146194,131.3093589,43.94053408
0.1,0.1,0.65,59.25,-1.816569122,-15.80643573,129.7516328,42.48914175
0.1,0.1,0.65,59.3,-1.701056914,-15.47357762,127.9952532,40.09386906
0.1,0.1,0.65,59.35,-1.594274106,-15.23802862,126.0707938,37.26336277
0.1,0.1,0.65,59.4,-1.501492971,-15.08680441,124.0041268,34.34543073
0.1,0.1,0.65,59.45,-1.430243764,-14.99601684,121.8336116,31.52135583
0.1,0.1,0.65,59.5,-1.383159376,-14.94337408,119.6539237,28.86128693
0.1,0.1,0.65,59.55,-1.349525692,-14.91194052,117.5246033,26.37485925
0.1,0.1,0.65,59.6,-1.321701398,-14.89015167,115.4273458,24.04431327
0.1,0.1,0.65,59.65,-1.298603154,-14.87061158,113.344263,21.84323207
0.1,0.1,0.65,59.7,-1.280274084,-14.84863431,111.2722246,19.74627469
0.1,0.1,0.65,59.75,-1.266442134,-14.82050704,109.2127809,17.73353212
0.1,0.1,0.65,59.8,-1.256627994,-14.78019754,107.1677621,15.78332484
0.1,0.1,0.65,59.85,-1.250319951,-14.71838609,105.138395,13.78030143
0.1,0.1,0.65,59.9,-1.247053088,-14.67586961,103.125355,11.57976566
0.1,0.1,0.65,59.95,-1.246432279,-14.65605426,101.1289614,9.565872015
0.1,0.1,0.65,60,-1.248131477,-14.62287148,99.14933864,7.650164481
0.1,0.1,0.65,60.05,-1.245636486,-14.57030987,97.203945,5.786192567
0.1,0.1,0.65,60.1,-1.243566431,-14.51647093,95.25845996,3.90354943
0.1,0.1,0.65,60.15,-1.241925657,-14.46150042,93.31290223,2.002446733
0.1,0.1,0.65,60.2,-1.240719504,-14.40557276,91.36727598,0.083236462
0.1,0.1,0.65,60.25,-1.23995442,-14.3488915,89.42157118,-1.853517995
0.1,0.1,0.65,60.3,-1.23963808,-14.29168634,87.47576381,-3.806949854
0.1,0.1,0.65,60.35,-1.239779522,-14.23420423,85.52981619,-5.77577902
0.1,0.1,0.65,60.4,-1.240389296,-14.17669152,83.58367717,-7.75819648
0.1,0.1,0.65,60.45,-1.241479651,-14.11936446,81.63728229,-9.751770273
0.1,0.1,0.65,60.5,-1.243064761,-14.06236653,79.69055387,-11.75341978
0.1,0.1,0.65,60.55,-1.245161008,-14.00571592,77.74340079,-13.75952193
0.1,0.1,0.65,60.6,-1.247787381,-13.94925332,75.79571806,-15.76621168
0.1,0.1,0.65,60.65,-1.250966026,-13.89260849,73.847386,-17.76989959
0.1,0.1,0.65,60.7,-1.254723062,-13.83520808,71.89826883,-19.76794142
0.1,0.1,0.65,60.75,-1.259089824,-13.77633995,69.94821289,-21.75928529
0.1,0.1,0.65,60.8,-1.264104827,-13.71526889,67.99704457,-23.74485826
0.1,0.1,0.65,60.85,-1.269816914,-13.6513734,66.04456924,-25.72750999
0.1,0.1,0.65,60.9,-1.276290333,-13.58425974,64.09057466,-27.71150403
0.1,0.1,0.65,60.95,-1.283612816,-13.51381908,62.13484731,-29.70174133
0.1,0.1,0.65,61,-1.291907744,-13.44022067,60.17722191,-31.70298925
0.1,0.1,0.65,61.05,-1.301349948,-13.36385973,58.21770623,-33.71933531
0.1,0.1,0.65,61.1,-1.312178147,-13.28529011,56.25675383,-35.75395077
0.1,0.1,0.65,61.15,-1.324679014,-13.2051666,54.29575414,-37.80913023
0.1,0.1,0.65,61.2,-1.339089757,-13.12420856,52.33761745,-39.88651746
0.1,0.1,0.65,61.25,-1.355379614,-13.04318284,50.38675393,-41.9874198
0.1,0.1,0.65,61.3,-1.373042848,-12.9628945,48.44734702,-44.11310597
0.1,0.1,0.65,61.35,-1.391247688,-12.8841736,46.52054185,-46.26493489
0.1,0.1,0.65,61.4,-1.409357212,-12.8078621,44.6039381,-48.44410393
0.1,0.1,0.65,61.45,-1.427225244,-12.73483238,42.69445372,-50.65086912
0.1,0.1,0.65,61.5,-1.444982953,-12.66607158,40.79098112,-52.88336037
0.1,0.1,0.65,61.55,-1.462684311,-12.60280425,38.89463413,-55.13631218
0.1,0.1,0.65,61.6,-1.480100522,-12.54654046,37.00762947,-57.39978278
0.1,0.1,0.65,61.65,-1.496653354,-12.49890867,35.13197732,-59.65757816
0.1,0.1,0.65,61.7,-1.511423163,-12.46115098,33.2681766,-61.88543934
0.1,0.1,0.65,61.75,-1.523236847,-12.43319332,31.413792,-64.05034235
0.1,0.1,0.65,61.8,-1.530892207,-12.41237189,29.56208687,-66.11395059
0.1,0.1,0.65,61.85,-1.533555085,-12.39239171,27.70145146,-68.04363661
0.1,0.1,0.65,61.9,-1.531245357,-12.36372225,25.81672046,-69.83027928
0.1,0.1,0.65,61.95,-1.525155692,-12.31637636,23.89286862,-71.50262763
0.1,0.1,0.65,62,-1.517510983,-12.24402638,21.91980797,-73.12344315
0.1,0.1,0.65,62.05,-1.510934034,-12.1464726,19.89555574,-74.76554167
0.1,0.1,0.65,62.1,-1.507649704,-12.02866614,17.82592253,-76.48521627
0.1,0.1,0.65,62.15,-1.508955309,-11.89766122,15.72171436,-78.31067515
0.1,0.1,0.65,62.2,-1.515259736,-11.75998241,13.5961725,-80.24636117
0.1,0.1,0.65,62.25,-1.526770051,-11.62049971,11.46164525,-82.28337837
0.1,0.1,0.65,62.3,-1.543572269,-11.48247436,9.323712188,-84.40815055
0.1,0.1,0.65,62.35,-1.565047886,-11.34808422,7.183853132,-86.60691336
0.1,0.1,0.65,62.4,-1.59039733,-11.21896384,5.044072543,-88.86666129
0.1,0.1,0.65,62.45,-1.619043181,-11.09653345,2.906223719,-91.17381886
0.1,0.1,0.65,62.5,-1.650602797,-10.98199598,0.77152077,-93.51190827
0.1,0.1,0.65,62.55,-1.684819473,-10.87594398,-1.359148766,-95.85985518
0.1,0.1,0.65,62.6,-1.721514457,-10.77769723,-3.484809505,-98.19310147
0.1,0.1,0.65,62.65,-1.760538713,-10.68481317,-5.604034582,-100.4888983
0.1,0.1,0.65,62.7,-1.801702064,-10.59335211,-7.7146405,-102.7338676
