"S_width [mm]","W_line [mm]","Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []","im(Gamma(1:1)) []","re(Gamma(1:1)) []","re(Zo(1:1)) []"
0.2,0.5,57,-7.14019838367626,-1.43966636145208,2054.11097274841,5.90300084495014,58.9407514486273
0.2,0.5,57.05,-7.14989445526785,-1.44102354806047,2056.12178692535,5.90833934099348,58.9823544024277
0.2,0.5,57.1,-7.16090030436443,-1.44177725930489,2058.13286641941,5.91367619056032,59.0240186935795
0.2,0.5,57.15,-7.17328325449734,-1.44192329925314,2060.14421034337,5.91901138847457,59.0657441457533
0.2,0.5,57.2,-7.18711280041953,-1.4414584598468,2062.15581781021,5.92434492961493,59.1075305820744
0.2,0.5,57.25,-7.2024605913467,-1.44038050165893,2064.16768793316,5.92967680891482,59.1493778251279
0.2,0.5,57.3,-7.21940041541245,-1.4386881359811,2066.17981982572,5.93500702136225,59.1912856969636
0.2,0.5,57.35,-7.23800818628383,-1.43638100820976,2068.19221260163,5.94033556199968,59.2332540191011
0.2,0.5,57.4,-7.25836193291826,-1.43345968249534,2070.20486537494,5.94566242592393,59.2752826125347
0.2,0.5,57.45,-7.28054179347202,-1.42992562761291,2072.21777725998,5.95098760828604,59.3173712977388
0.2,0.5,57.5,-7.30463001439626,-1.42578120400757,2074.23094737142,5.95631110429114,59.3595198946724
0.2,0.5,57.55,-7.33071095577917,-1.42102965196319,2076.24437482425,5.96163290919834,59.4017282227845
0.2,0.5,57.6,-7.3588711040141,-1.41567508083856,2078.25805873381,5.96695301832062,59.4439961010193
0.2,0.5,57.65,-7.38919909289399,-1.40972245931062,2080.2719982158,5.97227142702468,59.486323347821
0.2,0.5,57.7,-7.42178573425513,-1.40317760656003,2082.2861923863,5.9775881307308,59.5287097811391
0.2,0.5,57.75,-7.45672405931755,-1.39604718433032,2084.30064036178,5.98290312491277,59.5711552184333
0.2,0.5,57.8,-7.49410937189998,-1.38833868978789,2086.31534125913,5.98821640509769,59.6136594766788
0.2,0.5,57.85,-7.53403931472328,-1.38006044910557,2088.33029419565,5.99352796686591,59.6562223723716
0.2,0.5,57.9,-7.57661395006174,-1.37122161168913,2090.3454982891,5.99883780585083,59.698843721533
0.2,0.5,57.95,-7.62193585605801,-1.36183214496126,2092.36095265766,6.00414591773883,59.7415233397156
