"S_width [mm]","W_line [mm]","Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []","im(Gamma(1:1)) []","re(Gamma(1:1)) []","re(Zo(1:1)) []"
0.2,0.5,37,-17.7701829579942,-0.385440312835749,1278.6342549954,3.7001079043814,48.2630495904014
0.2,0.5,37.05,-17.6581949564101,-0.386640829887141,1280.48498388244,3.70532047441453,48.2754411039939
0.2,0.5,37.1,-17.5489509463801,-0.38799309568247,1282.33616515967,3.71053529598955,48.2878928020543
0.2,0.5,37.15,-17.4426165249967,-0.389485884330105,1284.18779902337,3.71575236301281,48.3004048314414
0.2,0.5,37.2,-17.3393436735833,-0.391108069709912,1286.03988566686,3.72097166945443,48.3129773387926
0.2,0.5,37.25,-17.2392687865005,-0.39284863687013,1287.89242528051,3.72619320934457,48.3256104705198
0.2,0.5,37.3,-17.1425109063018,-0.394696692972579,1289.74541805167,3.73141697676969,48.3383043728056
0.2,0.5,37.35,-17.0491702213279,-0.396641477754133,1291.59886416474,3.73664296586863,48.3510591915986
0.2,0.5,37.4,-16.9593268760553,-0.398672373467793,1293.45276380107,3.74187117082874,48.3638750726099
0.2,0.5,37.45,-16.8730401361983,-0.400778914260424,1295.30711713903,3.74710158588185,48.3767521613086
0.2,0.5,37.5,-16.7903479400278,-0.402950794935857,1297.16192435391,3.75233420530031,48.3896906029181
0.2,0.5,37.55,-16.7112668551098,-0.405177879040993,1299.01718561798,3.75756902339286,48.4026905424112
0.2,0.5,37.6,-16.6357924463147,-0.40745020619777,1300.87290110043,3.76280603450055,48.4157521245068
0.2,0.5,37.65,-16.5639000472286,-0.409757998584609,1302.72907096739,3.76804523299259,48.4288754936648
0.2,0.5,37.7,-16.4955459137632,-0.412091666445202,1304.58569538189,3.77328661326221,48.4420607940826
0.2,0.5,37.75,-16.4306687265349,-0.41444181246847,1306.44277450385,3.77853016972242,48.4553081696906
0.2,0.5,37.8,-16.3691913980978,-0.41679923483825,1308.30030849009,3.78377589680188,48.4686177641475
0.2,0.5,37.85,-16.3110231328635,-0.419154928690296,1310.15829749429,3.78902378894067,48.4819897208368
0.2,0.5,37.9,-16.2560616818466,-0.421500085632346,1312.01674166699,3.79427384058609,48.4954241828618
0.2,0.5,37.95,-16.204195731375,-0.423826090871374,1313.87564115558,3.79952604618853,48.5089212930414
0.2,0.5,38,-16.1553073645472,-0.426124517339454,1315.73499610429,3.80478040019725,48.5224811939063
0.2,0.5,38.05,-16.1092745363013,-0.428387115998416,1317.59480665416,3.8100368970563,48.5361040276937
0.2,0.5,38.1,-16.0659735071337,-0.430605801208599,1319.45507294304,3.81529553120041,48.5497899363435
0.2,0.5,38.15,-16.0252811863464,-0.432772629630965,1321.31579510559,3.82055629705095,48.5635390614939
0.2,0.5,38.2,-15.9870773427259,-0.434879770538363,1323.17697327325,3.82581918901194,48.5773515444764
0.2,0.5,38.25,-15.9512466482832,-0.436919464555056,1325.03860757423,3.83108420146614,48.591227526312
0.2,0.5,38.3,-15.9176805286561,-0.438883966591447,1326.90069813351,3.83635132877118,48.6051671477064
0.2,0.5,38.35,-15.88627880159,-0.440765466885727,1328.76324507282,3.84162056525583,48.6191705490453
0.2,0.5,38.4,-15.8569510922523,-0.442555981277516,1330.62624851062,3.84689190521627,48.6332378703902
0.2,0.5,38.45,-15.8296180207363,-0.444247197589354,1332.48970856211,3.85216534291256,48.6473692514736
0.2,0.5,38.5,-15.8042121628324,-0.445830258412971,1334.35362533921,3.85744087256516,48.6615648316945
0.2,0.5,38.55,-15.78067878988,-0.447295450247169,1336.21799895055,3.86271848835158,48.6758247501139
0.2,0.5,38.6,-15.7589763972595,-0.448631752386779,1338.08282950144,3.86799818440316,48.6901491454499
0.2,0.5,38.65,-15.7390770338681,-0.449826172085282,1339.9481170939,3.87327995480202,48.7045381560734
0.2,0.5,38.7,-15.7209664468217,-0.450862748220427,1341.8138618266,3.87856379357808,48.718991920003
0.2,0.5,38.75,-15.7046440567528,-0.45172103186289,1343.68006379489,3.8838496947063,48.733510574901
0.2,0.5,38.8,-15.6901227795331,-0.452373728527011,1345.54672309078,3.88913765210409,48.7480942580678
0.2,0.5,38.85,-15.6774287101941,-0.452782981999758,1347.41383980292,3.89442765962881,48.7627431064377
0.2,0.5,38.9,-15.6666006843439,-0.452894454998,1349.28141401659,3.89971971107557,48.7774572565743
0.2,0.5,38.95,-15.65768973163,-0.4526279170501,1351.14944581369,3.90501380017509,48.7922368446651
0.2,0.5,39,-15.6507584348623,-0.451862747388017,1353.01793527276,3.91030992059189,48.8070820065175
0.2,0.5,39.05,-15.6458802073902,-0.45041806438889,1354.88688246892,3.91560806592255,48.8219928775532
0.2,0.5,39.1,-15.6431385002919,-0.448036256013431,1356.7562874739,3.92090822969428,48.8369695928037
0.2,0.5,39.15,-15.6426259499494,-0.444416729822869,1358.62615035601,3.92621040536367,48.8520122869057
0.2,0.5,39.2,-15.6444434756851,-0.439460398495198,1360.49647118013,3.93151458631567,48.8671210940958
0.2,0.5,39.25,-15.6486993363635,-0.434009207383136,1362.36725000773,3.93682076586279,48.8822961482056
0.2,0.5,39.3,-15.6555081542229,-0.43060915815618,1364.23848689681,3.94212893724454,48.8975375826572
0.2,0.5,39.35,-15.6649899137067,-0.431683038840607,1366.11018190194,3.94743909362716,48.9128455304576
0.2,0.5,39.4,-15.6772689427022,-0.436128878036974,1367.98233507421,3.9527512281035,48.9282201241943
0.2,0.5,39.45,-15.6924728833539,-0.441011793208476,1369.85494646125,3.95806533369322,48.9436614960302
0.2,0.5,39.5,-15.7107316594736,-0.444774187106671,1371.7280161072,3.96338140334328,48.9591697776981
0.2,0.5,39.55,-15.7321764474964,-0.447225626051066,1373.60154405273,3.96869942992857,48.9747451004962
0.2,0.5,39.6,-15.7569386578912,-0.448625392261288,1375.47553033499,3.97401940625294,48.9903875952831
0.2,0.5,39.65,-15.7851489339044,-0.449257096512933,1377.34997498763,3.97934132505038,49.006097392472
