"W_line [mm]","Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []","im(Gamma(1:1)) []","re(Gamma(1:1)) []","re(Zo(1:1)) []"
0.5,37,-45.9535796740268,-0.309811800195551,1301.21739902021,3.15811865762062,72.5524363220193
0.5,37.05,-45.8037773208591,-0.310004472215462,1303.06625840754,3.16236354886392,72.553420271996
0.5,37.1,-45.6590343276932,-0.310193711347975,1304.91530235636,3.16660866159518,72.5544013328545
0.5,37.15,-45.5192011227724,-0.310379753697786,1306.76453061066,3.17085399575037,72.5553794839229
0.5,37.2,-45.3841334689989,-0.310562811359354,1308.6139429149,3.17509955127489,72.5563547047019
0.5,37.25,-45.2536925189271,-0.310743073149878,1310.46353901403,3.17934532812322,72.5573269748668
0.5,37.3,-45.1277448373495,-0.310920705372938,1312.31331865349,3.18359132625874,72.5582962742685
0.5,37.35,-45.0061623982742,-0.311095852611633,1314.16328157919,3.18783754565342,72.559262582935
0.5,37.4,-44.8888225617611,-0.311268638550078,1316.01342753754,3.19208398628757,72.5602258810729
0.5,37.45,-44.7756080350065,-0.311439166822014,1317.86375627545,3.19633064814961,72.5611861490684
0.5,37.5,-44.6664068212026,-0.311607521885426,1319.71426754031,3.20057753123575,72.5621433674888
0.5,37.55,-44.5611121589972,-0.311773769921856,1321.56496108003,3.20482463554981,72.5630975170838
0.5,37.6,-44.4596224548186,-0.311937959759292,1323.415836643,3.20907196110291,72.5640485787865
0.5,37.65,-44.3618412098732,-0.312100123817349,1325.26689397813,3.21331950791325,72.564996533715
0.5,37.7,-44.2676769432544,-0.312260279073553,1327.11813283484,3.21756727600586,72.5659413631732
0.5,37.75,-44.177043112303,-0.312418428049466,1328.96955296305,3.22181526541231,72.5668830486522
0.5,37.8,-44.0898580311138,-0.312574559815455,1330.82115411319,3.22606347617052,72.5678215718312
0.5,37.85,-44.0060447878853,-0.312728651012851,1332.67293603623,3.23031190832446,72.5687569145791
0.5,37.9,-43.9255311616434,-0.312880666892258,1334.52489848365,3.23456056192397,72.5696890589549
0.5,37.95,-43.8482495387381,-0.313030562366802,1336.37704120742,3.23880943702444,72.5706179872092
0.5,38,-43.7741368293965,-0.313178283079065,1338.22936396009,3.24305853368663,72.5715436817852
0.5,38.05,-43.7031343845244,-0.313323766480496,1340.08186649469,3.24730785197639,72.5724661253196
0.5,38.1,-43.6351879128664,-0.313466942922054,1341.93454856481,3.25155739196446,72.5733853006435
0.5,38.15,-43.5702473985723,-0.313607736754864,1343.78740992455,3.25580715372619,72.5743011907835
0.5,38.2,-43.5082670191521,-0.313746067439685,1345.64045032856,3.26005713734132,72.5752137789626
0.5,38.25,-43.4492050637616,-0.313881850663937,1347.49366953203,3.26430734289378,72.576123048601
0.5,38.3,-43.3930238517073,-0.314014999465098,1349.34706729067,3.26855777047141,72.5770289833169
0.5,38.35,-43.3396896510308,-0.314145425359282,1351.20064336076,3.27280842016573,72.5779315669276
0.5,38.4,-43.2891725969912,-0.314273039473735,1353.0543974991,3.27705929207174,72.5788307834501
0.5,38.45,-43.2414466102423,-0.314397753682098,1354.90832946304,3.28131038628768,72.5797266171019
0.5,38.5,-43.1964893144701,-0.31451948174123,1356.7624390105,3.28556170291481,72.5806190523017
0.5,38.55,-43.154281953238,-0.314638140428381,1358.61672589994,3.28981324205713,72.5815080736704
0.5,38.6,-43.1148093057673,-0.314753650677523,1360.47118989036,3.29406500382125,72.5823936660314
0.5,38.65,-43.0780596013661,-0.31486593871369,1362.32583074134,3.29831698831608,72.5832758144116
0.5,38.7,-43.0440244322065,-0.314974937184079,1364.180648213,3.30256919565266,72.5841545040417
0.5,38.75,-43.0126986641465,-0.315080586284771,1366.03564206602,3.30682162594392,72.5850297203573
