"W_line [mm]","Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []","im(Gamma(1:1)) []","re(Gamma(1:1)) []","re(Zo(1:1)) []"
0.5,57,-14.8712864899161,-0.86974812321404,2118.59721705874,4.83870754810313,188.142742812492
0.5,57.05,-15.1353640365799,-0.852079736788136,2120.67197343126,4.8428576853207,188.295270337094
0.5,57.1,-15.3890521181055,-0.836023972561519,2122.74672827308,4.84700696790351,188.447694152363
0.5,57.15,-15.6328302609503,-0.821480894698551,2124.82148116504,4.85115539956032,188.600013705678
0.5,57.2,-15.8671926722987,-0.808353445365075,2126.89623169075,4.85530298398754,188.752228448794
0.5,57.25,-16.0926360899408,-0.796547665043587,2128.97097943655,4.85944972486918,188.904337837824
0.5,57.3,-16.3096511566794,-0.78597288486659,2131.04572399149,4.86359562587687,189.056341333226
0.5,57.35,-16.5187163722027,-0.776541892840674,2133.12046494738,4.86774069066988,189.208238399786
0.5,57.4,-16.7202939214137,-0.768171075968213,2135.19520189871,4.87188492289505,189.360028506606
0.5,57.45,-16.9148268611301,-0.760780540357649,2137.26993444265,4.87602832618683,189.511711127084
0.5,57.5,-17.1027372825835,-0.754294211452065,2139.34466217907,4.88017090416727,189.663285738904
0.5,57.55,-17.2844251673503,-0.748639916503874,2141.41938471049,4.884312660446,189.814751824017
0.5,57.6,-17.46026772837,-0.743749451385365,2143.49410164207,4.88845359862026,189.966108868626
0.5,57.65,-17.6306190823564,-0.739558633755019,2145.56881258164,4.89259372227488,190.117356363172
0.5,57.7,-17.7958101402567,-0.736007344501054,2147.6435171396,4.89673303498225,190.268493802318
0.5,57.75,-17.9561486321815,-0.733039559260246,2149.71821492902,4.90087154030238,190.419520684932
0.5,57.8,-18.1119192051863,-0.730603371663415,2151.79290556552,4.90500924178285,190.570436514075
0.5,57.85,-18.2633835484662,-0.728651009790799,2153.86758866733,4.90914614295885,190.72124079698
0.5,57.9,-18.4107805124239,-0.72713884713174,2155.94226385523,4.91328224735314,190.871933045042
0.5,57.95,-18.5543261968201,-0.726027409133101,2158.01693075258,4.91741755847609,191.022512773799
0.5,58,-18.6942139896386,-0.72528137618904,2160.09158898526,4.92155207982567,191.172979502915
