"W_line [mm]","Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []","im(Gamma(1)) []","re(Gamma(1)) []","re(Zo(1)) []"
0.5,57,-20.3892978025524,-0.744583402425591,2223.91138131326,5.09370419744762,111.157278764465
0.5,57.05,-20.3876780584866,-0.736119635149748,2225.92203627854,5.09796504047149,111.172017464679
0.5,57.1,-20.3843485699048,-0.728399550169032,2227.93270258666,5.10222552745802,111.186741466985
0.5,57.15,-20.3792197247178,-0.721404481445442,2229.94338016346,5.10648565911401,111.201450780526
0.5,57.2,-20.3722039166301,-0.715115488595317,2231.9540689351,5.11074543614491,111.216145414508
0.5,57.25,-20.3632155418281,-0.709513434870516,2233.96476882808,5.11500485925487,111.230825378193
0.5,57.3,-20.3521709878807,-0.704579067771756,2235.97547976919,5.11926392914665,111.245490680906
0.5,57.35,-20.3389886162076,-0.700293102334121,2237.98620168559,5.12352264652168,111.260141332028
0.5,57.4,-20.3235887395609,-0.696636307167017,2239.9969345047,5.12778101208008,111.274777340998
0.5,57.45,-20.3058935960702,-0.693589593378399,2242.00767815431,5.13203902652058,111.289398717316
0.5,57.5,-20.2858273215283,-0.691134106566567,2244.01843256249,5.1362966905406,111.304005470536
0.5,57.55,-20.2633159217538,-0.689251322122517,2246.02919765764,5.14055400483618,111.31859761027
0.5,57.6,-20.2382872470573,-0.68792314415212,2248.03997336848,5.14481097010206,111.333175146187
0.5,57.65,-20.2106709710705,-0.687132008400878,2250.05075962403,5.14906758703158,111.34773808801
0.5,57.7,-20.1803985764845,-0.686860989645084,2252.06155635362,5.15332385631679,111.362286445519
0.5,57.75,-20.1474033505858,-0.687093914102421,2254.0723634869,5.15757977864834,111.376820228548
0.5,57.8,-20.1116203938976,-0.687815477512704,2256.08318095383,5.16183535471558,111.391339446987
0.5,57.85,-20.0729866457358,-0.689011369645936,2258.09400868465,5.16609058520646,111.405844110778
0.5,57.9,-20.0314409310955,-0.690668406110165,2260.10484660995,5.17034547080763,111.420334229917
0.5,57.95,-19.9869240340125,-0.692774668455191,2262.11569466059,5.17460001220438,111.434809814454
0.5,58,-19.9393788034137,-0.695319653699063,2264.12655276773,5.17885421008063,111.449270874491
0.5,58.05,-19.888750298516,-0.698294434540342,2266.13742086287,5.18310806511896,111.463717420181
0.5,58.1,-19.834985982077,-0.701691831656552,2268.14829887777,5.18736157800062,111.478149461732
0.5,58.15,-19.7780359712855,-0.705506599622279,2270.15918674451,5.19161474940549,111.492567009399
0.5,58.2,-19.7178533578397,-0.709735628099567,2272.17008439546,5.19586758001211,111.506970073492
0.5,58.25,-19.6543946108512,-0.714378160045042,2274.1809917633,5.20012007049767,111.521358664367
0.5,58.3,-19.5876200786694,-0.719436028721363,2276.19190878098,5.20437222153801,111.535732792434
0.5,58.35,-19.5174946086096,-0.724913915265299,2278.20283538178,5.20862403380761,111.55009246815
0.5,58.4,-19.4439883069322,-0.730819628407161,2280.21377149923,5.21287550797963,111.564437702022
0.5,58.45,-19.367077465299,-0.737164407593591,2282.22471706719,5.21712664472585,111.578768504605
0.5,58.5,-19.2867456843613,-0.743963250149434,2284.23567201979,5.22137744471671,111.593084886502
0.5,58.55,-19.2029852300943,-0.751235262098957,2286.24663629146,5.22562790862132,111.607386858365
0.5,58.6,-19.115798663915,-0.759004030677287,2288.2576098169,5.22987803710741,111.621674430893
0.5,58.65,-19.0252007933327,-0.7672980141569,2290.26859253112,5.23412783084139,111.635947614831
0.5,58.7,-18.9312209955508,-0.776150941058211,2292.27958436941,5.23837729048831,111.650206420971
0.5,58.75,-18.8339059714608,-0.785602205655724,2294.29058526733,5.24262641671187,111.664450860151
0.5,58.8,-18.7333229908699,-0.795697239327387,2296.30159516073,5.24687521017443,111.678680943256
0.5,58.85,-18.6295636899954,-0.806487826932172,2298.31261398575,5.251123671537,111.692896681212
0.5,58.9,-18.5227484767826,-0.81803232302985,2300.32364167881,5.25537180145923,111.707098084996
0.5,58.95,-18.413031584726,-0.830395703141192,2302.33467817659,5.25961960059944,111.721285165624
0.5,59,-18.3006067860393,-0.843649358970813,2304.34572341609,5.26386706961461,111.73545793416
0.5,59.05,-18.1857137221363,-0.857870512141662,2306.35677733453,5.26811420916035,111.749616401708
0.5,59.1,-18.0686447219669,-0.873141077431379,2308.36783986946,5.27236101989096,111.763760579418
0.5,59.15,-17.949751840934,-0.889545753766741,2310.37891095867,5.27660750245936,111.777890478481
0.5,59.2,-17.8294536438177,-0.907169061798187,2312.38999054024,5.28085365751714,111.792006110132
0.5,59.25,-17.7082409477604,-0.926090988003297,2314.40107855252,5.28509948571457,111.806107485647
0.5,59.3,-17.5866803051227,-0.946380852621691,2316.41217493412,5.28934498770053,111.820194616344
