"W_line [mm]","Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []","im(Gamma(1)) []","re(Gamma(1)) []","re(Zo(1)) []"
0.5,37,-11.6309670575665,-2.55841728441153,1461.20568218608,3.47184560141171,95.337858569481
0.5,37.05,-11.9729320457895,-2.38477373896488,1463.19951219858,3.47627802741075,95.3466711459726
0.5,37.1,-12.3342468666596,-2.21775033828467,1465.19336146677,3.48071010726584,95.3554727794625
0.5,37.15,-12.7095236401768,-2.06044987879842,1467.18722989911,3.48514184131712,95.3642634678144
0.5,37.2,-13.0941342425579,-1.914815789032,1469.1811174044,3.48957322990656,95.3730432090117
0.5,37.25,-13.4842109461588,-1.78178810133786,1471.17502389183,3.49400427337779,95.3818120011569
0.5,37.3,-13.8765951854783,-1.66152310038794,1473.16894927091,3.49843497207615,95.3905698424711
0.5,37.35,-14.2687585142927,-1.55362026661169,1475.16289345154,3.5028653263486,95.3993167312924
0.5,37.4,-14.6587130091397,-1.45732274624903,1477.15685634397,3.50729533654365,95.408052666076
0.5,37.45,-15.0449221807106,-1.37167682215338,1479.15083785878,3.51172500301138,95.416777645393
0.5,37.5,-15.4262186565888,-1.29564871858479,1481.14483790693,3.51615432610336,95.4254916679295
0.5,37.55,-15.8017315680556,-1.22820393849302,1483.13885639971,3.52058330617259,95.4341947324861
0.5,37.6,-16.170824466176,-1.16835691312787,1485.13289324878,3.52501194357352,95.4428868379769
0.5,37.65,-16.5330433828738,-1.11519881264453,1487.12694836614,3.52944023866193,95.4515679834289
0.5,37.7,-16.8880740464803,-1.06791025104262,1489.12102166415,3.53386819179497,95.4602381679812
0.5,37.75,-17.2357070311567,-1.02576414056257,1491.1151130555,3.53829580333107,95.4688973908841
0.5,37.8,-17.575809606769,-0.988122536573662,1493.10922245323,3.54272307362995,95.4775456514984
0.5,37.85,-17.9083031566101,-0.954430139102402,1495.10334977075,3.54715000305252,95.4861829492947
0.5,37.9,-18.2331451810822,-0.924206218342906,1497.09749492178,3.55157659196091,95.4948092838528
0.5,37.95,-18.5503150690758,-0.897036081653182,1499.0916578204,3.55600284071843,95.5034246548605
0.5,38,-18.8598029751719,-0.872562749644574,1501.08583838104,3.56042874968948,95.5120290621131
0.5,38.05,-19.1616012798927,-0.850479208858907,1503.08003651846,3.5648543192396,95.5206225055129
0.5,38.1,-19.455698227708,-0.83052141539664,1505.07425214777,3.56927954973537,95.5292049850679
0.5,38.15,-19.7420734320241,-0.812462104418766,1507.0684851844,3.57370444154446,95.5377765008916
0.5,38.2,-20.020695008146,-0.796105390245254,1509.06273554415,3.57812899503551,95.5463370532018
0.5,38.25,-20.2915181451785,-0.781282103557365,1511.05700314312,3.58255321057819,95.5548866423205
0.5,38.3,-20.5544849575187,-0.767845794162479,1513.05128789778,3.5869770885431,95.5634252686722
0.5,38.35,-20.8095254680882,-0.755669322006009,1515.04558972491,3.59140062930181,95.5719529327842
0.5,38.4,-21.0565595715879,-0.7446419604613,1517.03990854165,3.59582383322681,95.5804696352851
0.5,38.45,-21.2954998106135,-0.734666941108475,1519.03424426543,3.60024670069147,95.5889753769044
0.5,38.5,-21.526254775182,-0.725659376182349,1521.02859681407,3.60466923207004,95.5974701584719
0.5,38.55,-21.7487329126154,-0.717544502399614,1523.02296610567,3.60909142773763,95.6059539809168
0.5,38.6,-21.9628465157283,-0.710256197260669,1525.01735205869,3.61351328807019,95.6144268452668
0.5,38.65,-22.1685156484358,-0.703735725786878,1527.0117545919,3.61793481344447,95.6228887526479
0.5,38.7,-22.3656717737226,-0.697930681827203,1529.00617362441,3.62235600423804,95.6313397042832
0.5,38.75,-22.5542608719153,-0.69279409349811,1531.00060907566,3.62677686082923,95.6397797014925
0.5,38.8,-22.7342458774256,-0.688283667024645,1532.9950608654,3.63119738359716,95.6482087456914
0.5,38.85,-22.9056083169221,-0.684361147282067,1534.98952891371,3.63561757292168,95.6566268383907
